,직무중분류,직무소분류,채용공고명,채용기한,해시태그,채용공고상세_text,채용공고상세_img,채용공고상세_url,고용형태,경력,근무지역,학력,급여조건,우대사항,회사명,회사규모,회사분야,복리후생,출처
24,웹프로그래머,PHP,"JSP, JAVA 웹 개발자 정규직 채용 (신입/경력)",채용시,웹프로그래머,"(주)아이엔지웹 JSP, JAVA 웹 개발자 정규직 채용 (신입/경력) 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] JSP, JAVA 웹프로그램  [근무부서 및 직급/직책] 근무부서: 시스템개발팀 직급/직책: 사원, 대리, 과장, 팀장, 팀원 [자격요건] 경력사항: 신입, 경력(연차무관) 학력사항: 대학(2,3년)졸업 이상 직무기술: 웹프로그래머, 웹개발자  [우대사항] 자격증: 정보처리기사 2 명 근무조건 고용형태: 정규직(수습기간2개월) 근무부서: 시스템개발팀 급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종합격 추가 제출서류 이력서(희망 연봉 필수), 자기소개서 접수방법 채용시 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,정규직 [수습기간: 2개월],신입/경력(연차무관),"대전 > 동구, 전지역",초대졸이상,협의,정보처리기사,(주)아이엔지웹,중소기업,인터넷·포털·컨텐츠·게임,"주5일근무, 연차, 국민연금, 의료보험, 산재보험, 고용보험, 인센티브",https://job.incruit.com/jobdb_info/jobpost.asp?job=2209010004740
25,웹프로그래머,PHP,(경력) 백엔드 & 프론트 엔드 개발자 정규직 구인,상시,웹프로그래머,"(주)디자인그룹나인 백엔드/ 프론트엔드 경력 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원  - 백엔드 개발자 - 프론트엔드 개발자  [자격요건] 경력사항: 경력(3년 이상 ) 학력사항: 학력무관 연령: 무관 성별: 무관 0 명 근무조건 고용형태: 정규직, 위촉직(근무기간 협의 후 결정, 정규직 전환검토) 급여조건: 연봉 7000 만원 ~ 1억원 전형단계 및 제출서류 전형단계: 서류전형 > 면접전형 > 최종심사 > 최종합격 추가 제출서류 이력서에 연락처, 희망연봉 기재 제출한 서류는 일체 반환하지 않음 이력서, 자기소개서 서류전형, 면접전형 접수방법 접수방법: 인크루트 채용시스템, 이메일 (이메일 입사지원 ******@*******.***) 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",https://i.incru.it/jobTemplet/temp2018/img/temp_slogan.png,,정규직,경력3년이상,"서울 > 전지역, 영등포구",학력무관,연봉 1억원 이상,,(주)디자인그룹나인,중소기업,인테리어·디자인,"(04175) 서울특별시 마포구 마포대로 12 (마포동,한신빌딩)",https://job.incruit.com/jobdb_info/jobpost.asp?job=2012160004056
26,웹프로그래머,PHP,웹 개발자 경력 채용 Java/Php/Javascript/Python/Html/CSS 등 프로젝트 경력자,채용시,"웹프로그래머, HTML·퍼블리싱·UI개발","(주)바이오브레인 웹 개발자 경력 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] ㆍ웹 기반 프로젝트 개발 및 운영  [근무부서 및 직급/직책] 직급/직책: 대리 [자격요건] ㆍJava, Php, javascript, HTML/CSS/jQuery 등 다수 프로젝트의 개발경력. ㆍ웹 개발 경험 및 문제 해결 능력이 있는 분. ㆍ학력 : 학력무관 ㆍ경력 : 경력3년↑  2명 근무조건 고용형태 : 정규직(수습기간 3개월/협의가능) 급여조건 :  협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 - 이력서에 연락처, 희망연봉 기재 - 제출한 서류는 일체 반환하지 않음 - 이력서, 자기소개서 - 서류전형, 면접전형 접수방법 접수방법: 인크루트 채용시스템, 이메일 접수(******@*******.***) 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",https://i.incru.it/jobTemplet/temp2018/img/temp_slogan.png,,정규직 [수습기간: 3개월],경력(연차무관),대전 > 서구,학력무관,협의,,(주)바이오브레인,중소기업 (사원수 7명),연구개발업,"주5일근무, 국민연금, 의료보험, 산재보험, 고용보험, 워크샵, 퇴직금, 상해보험, 경조사...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2102220002465
27,웹프로그래머,PHP,"PHP, JAVA 신입/경력 정규직 채용",채용시,웹프로그래머,"(주)한국전자입찰연구소 PHP, JAVA 신입/경력 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] java/php 웹개발자  [근무부서 및 직급/직책] 근무부서: 개발팀 직급/직책: 사원 [자격요건] 경력사항: 신입, 경력(연차무관) 학력사항: 대학(2,3년)졸업 직무기술: 응용프로그래밍  [우대사항] 우대사항: 운전가능자, 인근거주자 1 명 근무조건 고용형태: 정규직(수습기간3개월) 근무부서: 개발팀 급여조건: 연봉 회사내규 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 이력서, 자기소개서 접수방법 2022-03-25 (금) 23시59분까지 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",https://i.incru.it/jobTemplet/temp2018/img/temp_slogan.png,,정규직 [수습기간: 3개월],신입/경력2~5년,서울 > 구로구,초대졸,회사내규,"자격증 : 정보처리산업기사, 정보처리기사, 컴퓨터활용능력 : [프로그래밍] JAVA, [프로그래밍] PHP, 기타 : 인근거주자, 운전가능자",(주)한국전자입찰연구소,중소기업 (사원수 20명),인터넷·포털·컨텐츠·게임,"주5일근무, 연차, 월차, 국민연금, 의료보험, 산재보험, 고용보험, 인센티브, 퇴직연금, ...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2111250003220
28,웹프로그래머,PHP,"백엔드개발자, 모바일앱 개발자, 블록체인 개발자 신입 모집 공고",채용시,"웹프로그래머, 응용프로그래머, 네트워크·서버·보안","모집부문 및 자격요건 모집분야 담당업무 자격요건 인원 백엔드개발자(1名) [담당업무] 기존 서비스의 운영 개발 신규 api 개발  [근무부서 및 직급/직책] 근무부서: 개발팀 직급/직책: 팀원 [자격요건] 개발학력사항: 고등학교졸업 이상 java, spring linux SQL  [우대요건] AWS 숙련자 php , python, 블록체인 관련 개발 경험자 3명 모바일앱개발(1名) [담당업무] ios/android 앱 개발 기존 모바일 앱의 유지 보수 / 리펙토링 신규 서비스 설계 및 개발  [근무부서 및 직급/직책] 근무부서: 개발팀 직급/직책: 팀원 [자격요건] 개발학력사항: 고등학교졸업 이상 IOS / ANDROID  [우대요건] 하이브리드 프레임워크 개발 경험 java 개발 경험 블록체인개발(1名) [담당업무] 블록체인 플랫폼 개발 및 미들웨어 개발 블록체인 기반 신규 서비스 개발  [근무부서 및 직급/직책] 근무부서: 개발팀 직급/직책: 팀원 [자격요건] 개발학력사항: 고등학교졸업 이상 백엔드 개발 경 블록체인 기반 서비스 개발  NFT 서비스 개발   [우대요건] KLAYTN 기반 개발 경험 다중 언어 사용에 익숙하신분 근무조건 고용형태: 정규직(수습기간 - 면접시 협의) 근무부서: 개발팀 인근전철역: 서울1호선 남영 (1번 출구에서 300m이내), 서울6호선 삼각지 (9번 출구에서 1km이내), 중앙선 효창공원앞 (5번 출구에서 1km이내), 서울4호선 숙대입구(갈월) (7번 출구에서 1km이내) 급여조건: 백엔드 개발자 급여 신입 : 연봉 3000 ~ 3400만원 경력 : 연봉 4500만원 이상  모바일앱 개발자 급여 신입 : 연봉 3000 ~ 3400만원 경력 : 연봉 3500만원 이상  블록체인 개발자 급여 신입 : 연봉 3000 ~ 3400만원 경력 : 연봉 3500 ~ 3900만원 전형단계 및 제출서류 01 서류전형 02 면접진행 03 최종심사 04 최종합격 추가 제출서류 이력서, 자기소개서 접수기간 및 방법 접수기간: 채용시 접수방법: 인크루트 채용시스템, 이메일 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",https://c.incru.it/newjobpost/2022/05_wise/wise.png,,정규직 [수습기간: 1개월],신입,"서울 > 용산구, 전지역, 광진구, 동작구, 송파구, 중구, 양천구, 중랑구, 마포구, 구로구, 강남구, 강동구, 금천구, 서대문구, 영등포구, 서초구, 노원구, 강북구, 강서구, 도봉구, 성동구, 은평구, 종로구, 성북구, 동대문구, 관악구, 인천 > 전지역, 부평구, 서구, 강화군, 연수구, 계양구, 옹진군, 미추홀구, 남동구, 중구, 동구, 경기 > 전지역, 광명시, 동두천시, 수원시 영통구, 안성시, 연천군, 화성시, 의정부시, 오산시, 수원시 장안구, 안양시 동안구, 이천시, 부천시, 광주시, 가평군, 고양시 덕양구, 구리시, 성남시 분당구, 수원시 팔달구, 안양시 만안구, 용인시 기흥구, 파주시, 고양시 일산동구, 군포시, 성남시 수정구, 시흥시, 양주시, 용인시 처인구, 포천시, 평택시, 양평군, 안산시 단원구, 성남시 중원구, 김포시, 고양시 일산서구, 용인시 수지구, 하남시, 의왕시, 여주시, 안산시 상록구, 수원시 권선구, 남양주시, 과천시",고졸이상,연봉 3000만원 ~ 3500만원,"기타 : 해당직무인턴경력자, 인근거주자",(주)와이즈텍,,,,https://job.incruit.com/jobdb_info/jobpost.asp?job=2205310002039
29,웹프로그래머,PHP,Cafe24 쇼핑몰 개설을 위한 채용,채용시,"웹프로그래머, 데이터베이스·DBA","(주)에스유지 그누보드/영카트기반 오픈마켓 쇼핑몰 개발팀(PHP) 모집  모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 그누보드 / 영카트 기반 오픈마켓 쇼핑몰 개발 [담당업무] 경력 : 그누보드/영카트를 이용한 오픈마켓 쇼핑몰 구축 리딩 및 개발 ( 급여 : 5000만원 ) 오픈마켓 쇼핑몰 구축경험 필수 신입도 지원가능 [자격요건] 경력사항: 신입, 경력(5년 이상 ) 학력사항: 학력무관 기타: 그누보드/영카트 기반 PHP 개발자, 오픈마켓 또는 쇼핑몰 개발 경력 또는 웹개발 신입  5 명 근무조건 고용형태: 정규직 인근지하철역: 부산2호선 센텀시티(BEXCO), 동해선 센텀 급여조건: 연봉 5000 ~ 6000 만원 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 이력서, 자기소개서 접수방법 채용시 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,정규직,신입/경력5년이상,"서울 > 전지역, 부산 > 해운대구",학력무관,연봉 5000만원 ~ 6000만원,,(주)에스유지,중소기업 (사원수 32명),웹에이젼시·IT컨설팅,"식대지원, (청년 재직자) 내일채움공제",https://job.incruit.com/jobdb_info/jobpost.asp?job=2304050004407
30,웹프로그래머,PHP,[락인컴퍼니] 모바일 앱 보호 서비스 SaaS 개발자 정규직 채용,~07.29 (토),"웹프로그래머, HTML·퍼블리싱·UI개발","[락인컴퍼니]  모바일 앱 보호 서비스  SaaS 개발자 정규직 채용 모집 부문 및 자격 요건 모집부문 담당 업무 자격 요건 및 우대 사항 인원 SaaS 개발 [담당 업무] • LIAPP 앱 보안 SaaS 서비스 개발 및 유지보수 • 프론트/백앤드 • RESTful API 개발 [자격 요건] • PHP(7.0이상) 개발 실무 경험 필수 (3년 이상) • Laravel 개발 필수 • Modern PHP 개발에 대한 이해 • HTML, Javascript, CSS 경험 • Git 사용 경험  [우대 사항] • Vue.js or Angular 프로젝트를 진행해보신 분 • Typescript, SCSS, Tailwind 사용에 능숙하신 분 • RESTful API에 대한 이해가 있으신 분 • AWS 클라우드 서비스 환경 경험자 • 최신 개발 기술 동향 및 적용에 관심이 많은 분 0명 근무 조건 고용 형태: 정규직(수습 기간 3개월) 급여 조건: 연봉 협의 후 결정 전형 단계 및 제출 서류 전형 단계: 서류 전형 > 1차 면접 > 필요 시 (2차 면접) > 최종 합격 추가 제출 서류 이력서, 자기소개서 접수 방법 2023-07-29 (토) 23시59분까지 접수 방법: 인크루트 채용시스템 접수 양식: 인크루트 이력서 기타 유의 사항 입사 지원 서류에 허위 사실이 발견될 경우, 채용 확정 이후라도 채용이 취소될 수 있습니다. 제출한 서류는 일체 반환하지 않습니다. 채용 전 연봉 협상 시 개인정보 동의서를 요청드립니다.",,,정규직 [수습기간: 3개월],경력3년이상,경기 > 성남시 분당구,학력무관,협의,,주식회사 락인컴퍼니,중소기업 (사원수 11명),소프트웨어·솔루션·ASP,"주5일근무, 연차, 경조휴가, 반차, 육아휴직, 남성출산휴가, 산전/후 휴가, 자유로운 휴가...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2305300006990
31,웹프로그래머,PHP,웹개발 경력 정규직 채용,채용시,"웹프로그래머, 네트워크·서버·보안, 시스템프로그래머, ERP·시스템분석·설계, 통신·모바일, 웹디자인, 소프트웨어·하드웨어, 응용프로그래머, 컨텐츠·사이트운영,","(주)엠티이지 웹개발 경력 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] - 회사에서 개발한 인공지능 서비스를 사용자들    이 사용 할 수 있도록 코어에 데이터 전송 - 결과 표시 사이트 개발  - 비디오 아카이빙 서버 개발 운용  [근무부서 및 직급/직책] 근무부서: 서비스개발팀 직급/직책: 팀원 [자격요건] 경력사항: 경력(5년 이상 ) 학력사항: 대학(2,3년)졸업 이상 직무기술: 웹프로그래밍, 솔루션, 빅데이터, 소프트웨어개발,                 CRM, ERP, SI  [우대사항] 우대사항: NOdejs / Vuejs 개발자                장기근무 가능자 0 명 근무조건 고용형태: 정규직(수습기간1개월) 근무부서: 서비스개발팀 급여조건: 협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 제출서류 이력서, 자기소개서 접수방법 채용시 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",https://i.incru.it/jobTemplet/temp2018/img/temp_slogan.png,,정규직 [수습기간: 1개월],경력5년이상,"서울 > 마포구, 전지역",초대졸이상,"월급, 협의",인근거주자,(주)엠티이지,,,,https://job.incruit.com/jobdb_info/jobpost.asp?job=2209210007204
32,웹프로그래머,PHP,"Android앱/웹 응용프로그램 개발 신입/경력 정규직, 계약직 채용",채용시,"응용프로그래머, 웹프로그래머","(주)엠아이솔루션 Android앱/웹 응용프로그램 개발 신입/경력 정규직, 계약직 채용 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 Android앱/웹 응용프로그램 개발 [담당업무] - 웹 그리고 앱 프론트 엔드 개발(신입가능) - 코드 개선 및 유지보수  [근무부서 및 직급/직책] 직급/직책: 사원, 팀원, 대리 [자격요건] 경력사항: 신입, 경력(연차무관) 학력사항: 대학교(4년)졸업 이상 기타: 자격요건 - 자유로운 근무환경에서 스스로의 목표와 일정을 관리할 수 있는 분 - 배움에 대한 열정을 갖고 개발을 원하는 분 - 맡은 작업에 대한 오너십을 갖고, 이를 완성시키는 일에 열정이 있는 분  우대사항 - 공학계열 혹은 정보처리기사 - Flutter 및 React, React Native 개발 경험이 있는 분 - IOS, Android 어플리케이션 배포 경험자 - Git을 통한 버전 관리에 능숙하신 분 - Redux (React) , Provider(Flutter), GetX(Flutter) 사용 경험이 있는 분 - Android/iOS 다양한 환경과 디바이스에 적합한 UI/UX에 전반적인 이해를 갖춘 분  1 명 근무조건 고용형태: 정규직, 계약직(근무기간 협의 후 결정) 급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 이력서, 자기소개서 포트폴리오 접수방법 채용시 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,"정규직, 계약직 [근무기간: 협의]",신입/경력(연차무관),대전 > 유성구,대졸이상,협의,,(주)엠아이솔루션,중소기업 (사원수 1명),소프트웨어·솔루션·ASP,"주5일근무, 연차, 국민연금, 의료보험, 산재보험, 고용보험, 자기개발지원, 식대지원",https://job.incruit.com/jobdb_info/jobpost.asp?job=2201140001075
33,웹프로그래머,PHP,플랫폼 프론트엔드 개발자 채용,채용시,웹프로그래머,"주식회사 비즈부스터 웹 프론트엔드 개발자 채용 #정규직  #칼퇴  #워라벨  #자유복장 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] ㆍ비즈탑(재무데이터 수집 및 분석)서비스 유지 및 보수 업무 ㆍ파인드컴퍼니(기업정보 조회 포털)서비스 유지 및 보수 업무 ㆍ비즈탑/파인드컴퍼니 프론트엔드 설계 및 개발 [자격요건] ㆍ관련 경력 1년이상 ㆍJavascript, HTML의 이해도 및 사용에 익숙하신 분 ㆍ반응형 웹 퍼블리싱이 가능하신 분 ㆍConfluence, Slack, Jira 등 헙업도구에 익숙하신 분  [우대사항] ㆍ프론트엔드/백엔드 시스템에 대한 이해도가 높으신 분 ㆍ확장 가능한 시스템 설계 및 구축, 적용 경험을 보유하신 분 ㆍAWS 환경에서 서비스 운영 및 배포 경험을 보유하신 분 ㆍ신기술 습득이 빠르고 응용능력이 있으신 분 ㆍ문제 파악과 해결을 위한 도전정신과 열정이 있으신 분  0 명 근무조건 고용형태: 정규직(수습기간3개월) 근무부서: 개발팀 인근전철역: 서울3호선 약수 (3번 출구에서 100m이내), 서울6호선 약수 (3번 출구에서 100m이내) 급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 접수방법 채용시 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서(포트폴리오 보유시 함께 제출해주세요) 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,정규직 [수습기간: 3개월],경력1년이상,서울 > 중구,학력무관,협의,,주식회사 비즈부스터,중소기업,소프트웨어·솔루션·ASP,"국민연금, 의료보험, 산재보험, 고용보험, 인센티브, 우수사원포상, 명절선물, 상해보험,...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2209170000835
34,웹프로그래머,PHP,나우경제 증권사업부 영업직군TM / IT직군 대규모 채용,채용시,"웹프로그래머, 인바운드 텔레마케터, 아웃바운드 텔레마케터",,https://c.incru.it/CS/NOW_3.jpg,,"정규직, 위촉직 [근무기간: 협의], 계약직 [근무기간: 협의]",신입/경력(연차무관),"경기 > 전지역, 서울 > 전지역, 구로구, 금천구",학력무관,연봉 1억원 이상,,나우경제 주식회사,중소기업 (사원수 17명),금융상품중개업,"주5일근무, 연차, 반차, 사내동호회, 워크샵, MT/야유회/체육대회, 도서구입비지원, 사...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2111020001519
35,웹프로그래머,PHP,[투바] 전산팀 java 개발자 정규직 채용,채용시,"웹프로그래머, 응용프로그래머, 데이터베이스·DBA","[투바] 전산팀 java 개발자 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] 자사 전산 유지보수, 신규개발 (고객관리, 자재관리, API연동, 홈페이지 관리) ㆍ언어: Java, php, HTML, CSS, Java script, Jquery ㆍ프레임워크: Spring frameWork ㆍDB Plug-In: Mybatis ㆍDB MS: Maria_DB, Mysql ㆍServer: apache, Tomcat ㆍ형상관리: SVN  [근무부서 및 직급/직책] 근무부서: 전산팀 직급/직책: 사원, 대리, 과장 [자격요건] 경력사항: 경력(3년 이상 ), 신입사원 학력사항: 대학(2,3년)졸업 이상 직무기술: 개발유지보수  1 명 근무조건 고용형태: 정규직(신입: 수습기간 3개월 / 경력: 수습기간 1개월) 근무부서: 전산팀 급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 이력서, 자기소개서 접수방법 채용시 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",https://i.incru.it/jobTemplet/temp2018/img/temp_slogan.png,,정규직 [수습기간: 3개월],신입/경력(연차무관),서울 > 강동구,초대졸이상,협의,,주식회사 투바,중소기업 (사원수 70명),인테리어·디자인,"주5일근무, 연차, 월차, 경조휴가, 반차, 육아휴직, 남성출산휴가, 국민연금, 의료보험, ...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2201120002157
36,웹프로그래머,PHP,정규직 웹개발자(PHP) 모집,채용시,웹프로그래머,"(주)씨플렉스 정규직 웹개발자(PHP) 모집  모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 정규직 웹개발자(PHP) 모집 [담당업무] - PHP 웹개발 - 사이트 구축/리뉴얼/유지보수.  [근무부서 및 직급/직책] 근무부서: 시스템개발사업부 [자격요건] 경력사항: 경력(1년 이상 5년 이하) 학력사항: 학력무관  1명 근무조건 고용형태: 정규직 근무부서: 시스템개발사업부 급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 이력서, 자기소개서 접수방법 채용시 접수방법: 인크루트 채용시스템, 이메일 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,정규직,경력1~5년,인천 > 서구,학력무관,협의,,(주)씨플렉스,중소기업 (사원수 10명),소프트웨어·솔루션·ASP,"주5일근무, 연차, 월차, 경조휴가, 국민연금, 의료보험, 산재보험, 고용보험, 자기개발지...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2302240000638
37,웹프로그래머,PHP,"백엔드개발자, 모바일앱개발, 블록체인개발자 경력 정규직 채용",채용시,"웹프로그래머, 응용프로그래머, 네트워크·서버·보안","모집부문 및 자격요건 모집분야 담당업무 자격요건 인원 백엔드개발자(1名) [담당업무] 기존 서비스의 운영 개발 신규 api 개발  [근무부서 및 직급/직책] 근무부서: 개발팀 직급/직책: 팀원 [자격요건] 개발학력사항: 고등학교졸업 이상 해당 업무 5년 이상 경력자 웹/앱 기반 서비스 운영 경험 java, spring linux SQL  [우대요건] AWS 숙련자 php , python, 블록체인 관련 개발 경험자 3명 모바일앱개발(1名) [담당업무] ios/android 앱 개발 기존 모바일 앱의 유지 보수 / 리펙토링 신규 서비스 설계 및 개발  [근무부서 및 직급/직책] 근무부서: 개발팀 직급/직책: 팀원 [자격요건] 개발학력사항: 고등학교졸업 이상 해당 업무 3년 이상 경력자 IOS / ANDROID  [우대요건] 하이브리드 프레임워크 개발 경험 java 개발 경험 블록체인개발(1名) [담당업무] 블록체인 플랫폼 개발 및 미들웨어 개발 블록체인 기반 신규 서비스 개발  [근무부서 및 직급/직책] 근무부서: 개발팀 직급/직책: 팀원 [자격요건] 개발학력사항: 고등학교졸업 이상 해당 업무 2년 이상 경력자 백엔드 개발 경험자 블록체인 기반 서비스 개발 경험 NFT 서비스 개발 경험  [우대요건] KLAYTN 기반 개발 경험 다중 언어 사용에 익숙하신분 근무조건 고용형태: 정규직(수습기간 - 면접시 협의) 근무부서: 개발팀 인근전철역: 서울1호선 남영 (1번 출구에서 300m이내), 서울6호선 삼각지 (9번 출구에서 1km이내), 중앙선 효창공원앞 (5번 출구에서 1km이내), 서울4호선 숙대입구(갈월) (7번 출구에서 1km이내) 급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 01 서류전형 02 면접진행 03 최종심사 04 최종합격 추가 제출서류 이력서, 자기소개서 접수기간 및 방법 접수기간: 채용시 접수방법: 인크루트 채용시스템, 이메일 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",https://c.incru.it/newjobpost/2022/05_wise/wise.png,,정규직 [수습기간: 0개월],경력2년이상,"서울 > 용산구, 전지역, 광진구, 동작구, 송파구, 중구, 양천구, 중랑구, 마포구, 구로구, 강남구, 강동구, 금천구, 서대문구, 영등포구, 서초구, 노원구, 강북구, 강서구, 도봉구, 성동구, 은평구, 종로구, 성북구, 동대문구, 관악구, 인천 > 전지역, 부평구, 서구, 강화군, 연수구, 계양구, 옹진군, 미추홀구, 남동구, 중구, 동구, 경기 > 전지역, 광명시, 동두천시, 수원시 영통구, 안성시, 연천군, 화성시, 의정부시, 오산시, 수원시 장안구, 안양시 동안구, 이천시, 부천시, 광주시, 가평군, 고양시 덕양구, 구리시, 성남시 분당구, 수원시 팔달구, 안양시 만안구, 용인시 기흥구, 파주시, 고양시 일산동구, 군포시, 성남시 수정구, 시흥시, 양주시, 용인시 처인구, 포천시, 평택시, 양평군, 안산시 단원구, 성남시 중원구, 김포시, 고양시 일산서구, 용인시 수지구, 하남시, 의왕시, 여주시, 안산시 상록구, 수원시 권선구, 남양주시, 과천시",고졸이상,협의,"기타 : 해당직무인턴경력자, 인근거주자",(주)와이즈텍,,,,https://job.incruit.com/jobdb_info/jobpost.asp?job=2205060001597
38,웹프로그래머,PHP,SW개발 웹프로그래머 경력자 정규직 채용,상시,웹프로그래머,"(주)에세텔 SW개발 웹프로그래머 경력자 정규직 채용 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 웹프로그래머 [담당업무] 웹프로그램 개발 자사 솔루션 개발 및 운용 서버장비 셋팅  [근무부서 및 직급/직책] 근무부서: 기업부설연구소 SW개발팀 직급/직책: 팀원, 사원, 대리 [자격요건] 경력사항: 경력(1년 이상 20년 이하) 학력사항: 대학교(4년)졸업 직무기술: 웹개발자(웹프로그래머)  [우대사항] 자격증: 정보처리기사 우대사항: 운전가능자, 인근거주자 0 명 근무조건 고용형태: 정규직(수습기간3개월) 근무부서: 기업부설연구소 SW개발팀 급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 이력서, 자기소개서 접수방법 상시채용 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,정규직 [수습기간: 3개월],경력1~20년,대전 > 유성구,대졸,협의,"자격증 : 정보처리기사, 컴퓨터활용능력 : [프로그래밍] JAVA, 기타 : 운전가능자, 인근거주자",(주)에세텔,중소기업 (사원수 25명),컴퓨터·하드웨어·장비,"주5일근무, 연차, 경조휴가, 반차, 남성출산휴가, 월1회 토요근무, 국민연금, 의료보험, ...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2211290004328
