회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지
엘케이벤쳐스서울본부,"마감일
상시",인생네컷/포토드링크 Window Application 개발자 모집,SW/솔루션,"• 2년 이상 C#, Winform, WPF 개발 능력을 보유한 분
• MVVM Pattern 및 XAML로 UI 개발에 대한 이해가 있으신 분
• 팀과 함께 성장하기를 원하시는 분","• WPF 상용 서비스 개발, 배포 및 운영 경험이 있으신 분
• UI Library(Dev Express, Teleric 등) 없이 Custom Control 개발 가능하신 분
• DB, 네트워크 관련 프로그래밍에 관심이 있으신 분
• Git 등 분산 버전 관리 시스템을 사용해 보신 분
• 영상처리 관련 경험이 있으신 분
• WPF 외 Winform, Web 등 다양한 IT 기술에 대하여 관심이 있으신 분","경력
경력 2~10년","c#
wpf
windows
.net",https://www.jumpit.co.kr/position/15634,"• 자유로운 연차 사용
• 강요 없고 편안한 회식분위기
• 분기별 회식비 지원(인당 3만원)
• 연장 근로 수당 지급(근로기준법 기준) 
• 자율 복장
• 부서별 부식 제공(월1회)
• 출산장려금 지원
• 직무교육비 지원(월1회)
• 점식 식대 10000원 제공(법인카드 사용)
• 저녁 식대 10000원 제공(연장근로 시, 법인카드 사용)"
모빌린트,"마감일
상시",[전문연구원 가능] Software Engineer,SW/솔루션,"• 리눅스 환경 개발에 능숙하신 분
• C/C++/Python 사용에 능숙하신 분
• 자료구조 및 알고리즘에 대한 높은 이해도
• 병렬 프로그래밍에 대한 높은 이해도
• SW 아키텍처 설계와 성능 최적화를 즐기시는 분","• 컴퓨터공학 (전산학) 학사 이상의 학위 소유자
• 딥러닝에 대한 이해도가 높으신 분
• 3+년 이상의 경력","경력
신입~20년","C++
Linux
Python
Embedded
c",https://www.jumpit.co.kr/position/10027,"[ 여러분의 성장을 응원합니다 ]
• 전 세계가 주목하는 AI 반도체라는 인공지능, 반도체 분야의 최첨단 기술을 접할 수 있습니다.
• AI 반도체 특성상 타 분야 엔지니어와의 교류가 필수적이며 인공지능 솔루션 기업들과 협업할 기회가 많기 때문에 다양한 경험을 통해 시야를 넓히고 융합형 인재로 성장할 수 있습니다.
• 열정적이고 성장에 욕심 많은 멤버들을 위해 세미나 참석비 지원, 도서구입비 지원 제도를 운영하고 있습니다.
• 직무발명보상제도를 운영하여 멤버들의 역량 증진을 장려하고 성과에 대해 보상해드리고 있습니다.

[ 우리는 이렇게 일해요 ]
• 자율출퇴근, 자유복장을 원칙으로 하고 있습니다. 
• 공공기관에 준하는 휴일, 휴가 제도를 운영하며 연차는 자유롭게 사용하실 수 있습니다.
• 직급없이 님을 사용하며 스스로 업무를 관리하는 수평적 조직문화를 자랑합니다.
• 불필요한 문서 작업을 철저히 배척하고 직접적이고 빠른 의사소통으로 문제를 해결합니다.

[ Low-Risk & High-Return ]
• 열정페이가 아닌 열정이 샘솟는 페이를 지향합니다.
• 국내 AI 반도체 선도기업 중 규모가 작은 편으로, 지금 합류하시면 회사의 성장으로 인한 기쁨을 스톡옵션을 통해 금전적으로도 충분히 누리실 수 있습니다.
• AI 반도체는 차세대 비메모리 반도체 패권을 결정짓는 국가전략산업으로 미국은 2025년까지 56조원, EU는 2030년까지 182조원, 우리 정부 역시 1조 4000억원의 투자를 발표했습니다.
모빌린트는 국내최고수준의 AI반도체 기술력을 활용하여 지금도 여러 과제에 참여하고 있으며, 앞으로도 정부 지원을 통해 안정적으로 AI 반도체 기술 국산화에 도전할 계획입니다.

[ 쾌적한 근무 환경 ]
• 멤버들이 연구 개발에 집중하실 수 있도록 편안한 환경 조성을 최우선 목표로 하고 있습니다.
• 역삼역 3분 거리에 있는 넓고 깨끗한 사무실에서 근무합니다.
• 신규 멤버가 입사하실 때마다 최고 사양의 컴퓨터와 듀얼 모니터를 새로 구입해드리며 필요한 소프트웨어를 요청하시면 지체 없이 지원해드립니다.

[ 그 외 소소한 복지 제도 ]
• 4대 보험 및 건강검진 지원
• 중식 및 석식 제공
• 간식, 음료 무제한 제공 (원하는 메뉴 요청)
• 고급 캡슐 커피 무제한 제공
• 명절, 연말 등 특별한 선물"
이마고웍스,"마감일
상시",Web Software Engineer (경력 및 신입/전문연구요원 가능),SW/솔루션,"• Computer Science 관련 학사 졸업 또는 졸업예정자 (전문연구요원 지원자는 석사 졸업)
• C++ 프로그래밍이 가능하신 분
• 프로그래밍 library 사용 및 개발에 능숙하신 분","• TypeScript (JavaScript) 프로그래밍이 능숙하신 분
• 그래픽스 관련 S/W 개발 경험이 있으신 분
• 인공지능 관련 S/W 개발 경험이 있으신 분
• 3차원 데이터 (Polygon mesh, DICOM image) 처리 경험이 있으신 분","경력
신입~15년","C++
TypeScript
Rust
React
AZURE",https://www.jumpit.co.kr/position/8992,"[직원이 편해야 회사가 잘된다!]
• 수평적인 조직 문화
• 자율 출퇴근제 운영
• 자유 복장 (반바지, 모자, 슬리퍼 등등 모두 OK!)
• 신사역 도보 3분 거리 
• 듀오백, 듀얼 모니터, 모니터암 등 제공 
 
[아낌없이 주는 회사!]
• 점심 식대 지원 / (필요시) 저녁 식대 지원
• 맛있는 스낵, 쿠키, 음료 등 간식 무한 제공
• 커피 무한 제공
• 입사 시 Welcome Kit 지급
• 업무에 필요한 사무용품 제공
• 생일 선물로 상품권 및 오후반차 지급
• 입사기념일 선물 지급
• 입사 후 당해 유급휴가 선부여
• 경조사 휴가 지급
• 장기 근속 휴가 제공 
• 명절선물 지급
• 임차료 및 교통비 일부 지원
 
[Work Life Balance!]
• 팀원의 성장은 팀의 성장! 도서, 온라인 강의, 화상 영어 교육 등 자기 계발 지원!
• 스포츠, 문화 생활 등 사내 동아리 활동 지원
• 팀웍 향상을 위한 팀별 컬쳐 데이 운영
• 건강검진 지원"
알티모빌리티,"마감일
상시",Embedded Software 개발자,SW/솔루션,"• 유관 경험/경력 2년 이상이신 분 
• C, C++ 경험이 있으신 분 
• SoC/MCU Chipset을 이용한 Embedded SE 개발 경험이 있으신 분 
• RTOS 및 Linux SW 최적화 경험이 있으신 분","• Embedded Linux 혹은 Android Framework 개발 경험이 있으신 분 
• Linux BSP 개발 경험
• C, C++, C# 언어 중 하나 이상의 지식 보유","경력
경력 2~5년","rtos
embedded
fw
c
c++
embedded linux
sw",https://www.jumpit.co.kr/position/15177,"[더 좋은 곳에서 일할 수 있도록]
• 2호선 서초역 도보 3분 이내 위치하고 있어요.
• 유연근무제를 운영하고 있어요.
• 오피스가 아니어도, 집에서 편하게 일할 수 있게 재택근무제도를 운영하고 있어요.
• ""쉼""은 더 나은 우리가 될 거라 믿고, 연차 외 가족휴가를 4일 지급해드려요.
• 출출하면 안되니까, 간식 포인트 매월 지급해드려요.
• 매월 부서비를 지급해드려요.
• 편한 복장은 일의 능률을 위한 필수죠. 자율복장제를 운영하고 있어요.

[함께할 수 있도록]
• 모든 일에 함께해요. 각종 경조사와 경조휴가를 지원해드려요.
• 제일 소중한 나를 위해, 생일 축하 상품권을 지원해드려요. (배우자 포함)
• 든든한 동반자와의 결혼기념일 축하 상품권을 지원해드려요.
• 즐거운 명절에는 두 손 가득히, 명절 선물을 지원해드려요.
• 40만원 상당의 건강검진을 지원해드려요. (가족 50% 지원)
• 예쁜 우리 아이를 위해 자녀학자금 지원해드려요. (유치원, 초/중/고, 대학교까지!)
• 주택자금 대출 이자를 지원해드려요.
• 아플 때, 든든할 수 있도록 단체보험을 지원해드려요. (배우자, 자녀, 부모, 배우자 부모 포함)

[더 나은 우리가 되도록]
• 개인 취향에 따른 PC를 제공해드려요.
• 역량 개발을 위한 컨퍼런스/교육비 등을 지원해요.
• 원하는 대로 들을 수 있도록 매월 온라인 교육을 지원해드려요.
• 글로벌 세계로 나아가고 있는 우리를 위해 어학비 지원해드려요.
• 구성원의 성장을 위해 필요한 책은 무제한 지원해드려요.
• 힘들었던 외근과 야근은 택시비를 지원해드려요."
몰로코,"마감일
상시",[MOLOCO] 시니어 백엔드 소프트웨어 개발자,SW/솔루션,"• Data structure 및 알고리즘을 활용한 수준급의 문제해결 역량
• 최소 1개 이상의 프로그래밍 언어를 통한 소프트웨어 개발 기술 (개발언어 무관)","• 클라우드 및 빅데이터 플랫폼 경험 (AWS, GCE, Dateflow, Spark 등)
• 분산시스템 환경 문제 진단 기술
• 대용량 데이터 및 실시간 이벤트 스트리밍 처리 경험
• 시스템 디자인 구현 경험","경력
경력 10~20년","Google Cloud Platform
Google Cloud Bigtable
Google BigQuery
Go
Google Cloud Dataflow
AWS
Spark",https://www.jumpit.co.kr/position/4908,"• 입사자 주식 무상 지급(RSU)
• 직원 중심, 데이터 중심의 실리콘밸리식 조직 문화
• 무제한 휴가, 자율 출퇴근, 자율 재택근무 등 직원의 워라밸을 배려한 제도 운영
• 자기계발비, 체력단련비, 교통비 별도 지원
• 무료 스낵바/커피머신/음료코너 제공 및 와인셀러 구비
• 격주 TGIF 이벤트, 다양한 사내 클럽 활동 등"
투씨드,"마감일
상시",솔루션 개발 경력자 채용,SW/솔루션,"• 새로운 기술을 학습하고 적용하는데 관심있는 엔지니어 
• 백엔드 개발 관련 경험","• CI/CD 자동화 파이프라인 구축 경험이 있는 분 
• Java(REST API 개발 등) Python등의 개발 경험과 Shell Script, YAML 사용 가능한 분 
• Docker, Kubernetes 환경에 익숙한 분 
• 쿠버네티스, AWS, MS Azure 등 기타 솔루션 인증 자격증","경력
경력 3~15년","Java
Linux
Python
GitLab
Docker
Kubernetes
AWS",https://www.jumpit.co.kr/position/13522,"• 경조사 지원, 출산 휴가 지원
- 조위/결혼/자녀입학 등 경조사비 및 휴가일 지원
• 리프레쉬 휴가
- 자유롭게 연차 사용 가능, 징검다리 휴일 눈치 NO!
• 장기 근속 휴가
- 5년 만근 시 마다 10일 특별 휴가 부여, 특별 휴가비 100만원 지급!
• 명절 및 생일 특별 상여 지급
- 설날, 추석, 생일에 특별 상여 지급
• 정부 지원 제도 모두 지원 
- 청년내일채움공제, 중소기업 청년 소득세 감면 등"
동인기연,"마감일
상시",[서울] 전산 시스템 개발 및 SAP ERP 운영,SW/솔루션,"• 학력 : 전문학사 이상 (2,3년제 이상)
• 경력 : 경력 3년 이상
• 기업 내 전산시스템 개발 및 운영관리 경험자
• 프로그램 개발 경험자 (SAP 또는 웹 시스템)
• 데이터베이스 관련 실무 지식 보유자 (SQL 작성 등)
• 네트워크 관련 기초지식 보유자","• 영어 소통 가능자
• 전산 관련 학과 전공자","경력
경력 3~10년","ERP
SAP
DB
Network
SQL",https://www.jumpit.co.kr/position/17218,"• 경조사 지원
• 동호회 지원
• 유류비 지원
• 연 1회 1주간 휴가 사용 의무화
• 전국 유명 휴양지 콘도 이용 지원
• 정기 건강검진 시행
• 단체 상해보험 가입
• 사무실 공기청정기 설치
• 가족동반 거주시 주택수당 지원
• 자녀 학자금 지원
• 정기휴가 지원 (매 분기 7일)
• 왕복 항공권 지급 (연 4회)"
GS ITM,"마감일
상시",HR시스템 PM/설계/개발 담당자 모집,SW/솔루션,"• 경력 5년 이상
• HR시스템 개발 경험자, 인사업무 경험자
• PM, PL, 설계/개발 경험자
• Spring Java, MySQL 활용 유경험자","• 인사시스템 및 유사 분야 경험하신 분
• SaaS 구독형 서비스 개발 경험하신 분","경력
경력 5~20년","Java
Spring
MySQL",https://www.jumpit.co.kr/position/13588,"[조직문화]
개발자들의 기술역량을 발휘할 수 있는 다양한 근무환경을 제공합니다.
• 수평적 조직문화 확산과 역할 중심의 문화
• 직급없이 “매니저”로 호칭 일원화
• 복장규정 캐주얼
 
[경력개발]
구성원의 자기계발을 위한 교육/자격증 취득을 지원해 드립니다.
• 온라인(겟스마트,인프런) 오프라인 교육 전액 지원
• 자격증 취득 지원 (취득비용 50% 지원)
 
[구성원 가족케어]
구성원의 가족들도 GS ITM과 함께 합니다.
• 각종 경조금 지원
• 경조용품 및 장례(상조서비스) 지원
• 명절선물 지급(설,추석)
 
[여가활동지원] 
구성원의 리프레쉬를 응원합니다.
• 전국 8개소 휴양소 이용가능
• 티웨이항공 상시 할인
• 복지포인트 제공
 
[건강관리] 
구성원과 가족의 건강관리를 위한 제도를 운영합니다.
• 매년 종합건강검진 시행
• 배우자 건강검진 (40세 이상 격년시행)
• 구성원 단체보험 가입 
• 코로나19 백신휴가 

[회사생활]
• 5년 단위 장기근속 포상(국민관광상품권 100만원 및 휴가 5일)
• 사내동호회 지원

[법정 복지제도]
• 주5일근무, 4대보험, 연차/반차/반반차 사용
• 출산휴가
• 육아휴직
• 가족돌봄휴가"
뉴빌리티,"마감일
상시",Computer Vision Engineer - Visual SLAM(전문연구요원 편입 가능),SW/솔루션,"• 이학/공학 분야 석사 이상 또는 그에 상응하는 경력의 소지자
• C/C++, Python 등 프로그래밍 가능자
• 카메라, 라이다 혹은 레이다 기반 Feature 추출 및 Mapping & Localization 알고리즘 개발 경험자
• Feature 기반 Mapping & Localization 기술에 대한 전반적인 이해","• 전기전자공학/컴퓨터공학/기계공학 전공 박사 이상 학위 소지자 우대
• 관련분야 5년 이상 경력자 우대
• 카메라 기반 SLAM 혹은 Mapping, Localization 기능 개발 경험자
• Kalman Filter, Graph Optimization 등을 활용한 멀티 센서 퓨전 기술 구현 경험자
• Computer Vision, 3D Reconstruction, Multi View Geometry, SLAM 쪽 지식 보유자
• ROS, ROS 2를 사용한 기술 개발 경험자
• 스타트업 유경험자","경력
경력 3~8년","C
C++
Python
ROS",https://www.jumpit.co.kr/position/11139,"• 유연한 출퇴근 시간
 - 유연근무 : 8~11시 사이 자유롭게 출근(코어타임 : 13시 - 17시)

• 최상의 업무환경
 - 업무에 필요한 최신 장비 지원
 - 듀얼 모니터 지원
 - 시디즈 의자 기본 제공
 - 커피 머신 구비, 다양한 간식 제공 및 식대 지원

• 자기계발 지원
- 자기 계발을 위한 도서 구매비 지원

• 친목 및 교류
 - 왜곡된 회식문화, 음주문화 없음
 - 매월 1회 팀 회식비 지원
 - 주기적인 타운홀 미팅 진행

• 기타 복지
 - 생일 휴가 지원(1일)
 - 백신 휴가 지원(1일)
 - 야근 택시 비 지원(11시 이후)
 - 법적 복리후생 지원(4대 보험 및 퇴직 연금)"
모니텍,"마감일
상시",[부산] 기술연구소 응용소프트웨어 개발담당자 모집,SW/솔루션,• 경력 : 신입/경력 2년 이상(면접 후 결정),"• 컴퓨터/시스템공학, 수학/통계학, 물리
• 영어 가능자, C# 언어 능력","경력
신입~10년","C#
SW",https://www.jumpit.co.kr/position/16885,"• 지원금/보험 : 각종 경조사 지원
• 급여제도 : 퇴직연금, 인센티브제, 상여금, 우수사원포상, 퇴직금, 성과급, 4대 보험
• 선물 : 명절선물/귀향비, 생일선물/파티
• 교육/생활 : 구내식당(사원식당), 점심식사 제공, 음료제공(차, 커피)
• 근무 환경 : 회의실, 전용 사옥, 사내 정원, 장애인 엘리베이터, 노트북
• 조직문화 : 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 칼퇴근 보장
• 출퇴근 : 주차장제공, 회사차량 있음
• 리프레시 : 연차, 경조휴가제"
