회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지
아론,"마감일
상시",[ALON] 프론트엔드 개발자,크로스플랫폼 앱개발자,"• React Native or Flutter 개발 경험 보유 (저년차도 무관)
• 모바일 어플리케이션을 스토어에 출시 및 배포, 운영 경험 보유
• 협업에 익숙하고 동료와의 원활한 커뮤니케이션 가능","• O2O 서비스 개발 경험이 있는 분
• 사용자 중심의 UI/UX 개발에 대한 높은 관심과 이해가 있으신 분
• 단위 테스트 등 테스트 코드 작성 경험이 있으신 분
• Code Push 등을 이용한 효율적인 배포 관리 경험이 있으신 분
• A/B 테스트 수행 및 실험 분석에 대한 이해 혹은 경험이 있으신 분","경력
경력 2~3년","Git
C
Python
AWS
React
React Native
Flutter",https://www.jumpit.co.kr/position/16747,"• 선택적 근로시간제 운영 (오전 8~11시)
- 어떻게 하면 “잘” 일할 수 있을까?에 대해 고민했습니다. 
- 답은, 일하는 사람이 “편해야”한다는 점이었어요. 
- 그래서 원하는 시간에 출근할 수 있게 만들었습니다.
 
• 주 1일 자율근무제 운영 (재택근무 가능)
- 주5일. 매일매일 똑같이 일하는 것은 너무 로봇 같잖아요. 
- 오늘은 모자를 눌러쓰고 카페에 가고 싶을 수도 있고, 집에서 배달음식을 먹고 싶을 수도 있고, 
- 크게 노래를 틀어놓고 싶을 수도 있을 거예요. 
- 일주일에 하루만큼은, 원하는 곳에서 원하는 대로, 편하게 일할 수 있게 만들었습니다.
 
• 자유로운 연차 사용
- 쉴 때는 쉬어야해요. 그래야 다시 돌아와 잘 일할 수 있어요. 
- 쉬는 법을 스스로 깨닫는 것도, 업무 부스팅에 필수적이라고 생각합니다. 
- 그래서 최대한 간단한 연차 신청 프로세스를 만들었어요. 원할 때 쉴 수 있도록.
 
• 성과 기반 연례 스톡옵션 부여
- 게임도 다 깨면 기록이 남고 이름이 남는데, 일을 잘하면 당연히 보상이 있어야 합니다. 
- 그것도 잘하는 만큼의 보상이요. 
- 아론과 같은 작은 회사에서, 구성원들에게 드릴 수 있는 것은 
- 함께 성장할 것이라는 믿음에 기반한 스톡옵션이라고 생각했어요.
 
• 근속 매 4년마다 2주 리프레시 휴가 부여
- 4년이 되지 않은 회사에서, 2주 리프레시를 주겠다는 건 너무 공허한 공약이지 않냐고 생각하실 수 있을 것 같아요. 
- 아론은 4년 후, 한 사람도 빠짐 없이 리프레시 휴가를 갈 수 있도록, 업무 백업 체계도 잘 구축해두겠습니다.
 
• 최신형 장비 지원
- 일할 때 중요한 게 또 뭐가 있을까 고민했어요. 일할 때 필요한 용품들에 돈을 쓰는 것도 싫잖아요. 
- 제일 좋은 걸로 골라서 드리겠습니다."
케이팝팩토리,"마감일
상시",[튠잼] 앱 개발자(플러터-Flutter),크로스플랫폼 앱개발자,"• 3년 이상의 네이티브 앱(Android, iOS) 개발 및 유지 보수 경험이 있으신 분
• Flutter 개발 경험이 1년 이상 있으신 분
• AWS / Firebase / Github / Slack 환경 개발이 익숙하신 분
• 개인이 아닌 동료와 함께 협업을 통해 성장하기를 희망하시는 분","• 영상 서비스 경험이 있으신 분
• 빌드/테스트/배포 자동화 경험이 있으신 분(CI/CD)
• 새로운 기술에 호기심이 많고 공유하시는 분
• IOS 개발 경험 우대
• GetX를 사용한 State 관리 경험
• Method Channel, Event Channel 개발 경험","경력
경력 3~6년","flutter
ios
android os
aws
firebase
github
slack",https://www.jumpit.co.kr/position/15341,"• 맥북 프로 16인치
• 자기계발지원 (교육비 지원 등), 월별 도서 구입비 지원, 세미나 참가비 지원
• 청년 내일 채움 공제 가능 기업, 4대 보험
• 맛있는 간식 및 음료수 제공
• 생일파티와 멋진 프로필 사진
• 자율적인 근무 환경"
커넥트핏,"마감일
상시",[기그] 프론트엔드 개발자 채용,크로스플랫폼 앱개발자,"• Flutter 프로젝트 경험이 많으신 분
• 테스트 케이스 작성 경험이 많으신 분
• 커뮤니케이션 능력이 좋으신 분
• CS 지식이 많으신 분","• 빌드/테스트/배포 자동화 경험이 있으신 분
• 새로운 기술에 호기심이 많고 습득력이 좋으신 분
• 긍정적 사고를 가지고 문제 해결을 좋아하시는 분

[개발 지원]
• 주기적인 데일리 미팅을 통한 업무 공유와 협업 툴을 통한 충분하고 체계적인 업무환경 구축
• 사내 튜토리얼, 개발 가이드, 코드 리뷰를 통하여 좋은 코드를 구현할 수 있도록 제공

[성장 방향]
• GRPC와 PROTOBUF를 이해하고, 서버 개발자와 협업을 통해 서버와 통신하는 방법 습득
• 동료와 효율적인 프로세스 개선 및 고객 중심으로 개발 문화 습득","경력
경력 3~10년","Flutter
SQLite
fastlane
gRPC
Protobuf
GitHub
MQTT",https://www.jumpit.co.kr/position/4968,"• 무제한 커피 및 간식
• 자기계발비 지원 및 사내 북스터디
• 생일반차
• 업무장비 400만원 지원"
어게인큐,"마감일
상시",앱 서비스 프론트엔드 개발자를 모십니다,크로스플랫폼 앱개발자,"• 학력 : 학력무관
• 경력 : 최소 3년 ~ 최대 6년 
• Typescript, Javascript 사용 능력 (필수)
• React 또는 React Native 등 선언형 개발 방식에 대한 경험 (필수) 
• Android, iOS 네이티브 개발 방식에 대한 경험 (필수) 
• Pod, Gradle, Yarn 등 의존성 관리 도구 사용 경험 (우대사항)","• 타인의 의견을 잘 듣고 이해하려는 자세를 가시진 분이 좋아요 
• 타당한 근거를 바탕으로 자신의 의견을 합리적으로 제시할 줄 아는 능력을 갖추신 분이 좋아요 
• 논리적, 이성적으로 상대를 설득할 수 있는 능력을 갖추신 분이 좋아요
• 스스로 주도적으로 일하고 자기 계발을 위해 항상 노력하는 사람이 좋습니다. 
• 눈앞에 놓인 과제를 단순하게 해결하기 보다는 다양한 답을 찾아 나가는 사람이 좋습니다.
• 러닝커브에 부담이 없고, 이를 업무에 적용하는 능력이 있으신 분들을 우대합니다.","경력
경력 3~6년","TypeScript
JavaScript
React
React Native
Android OS
iOS
Kotlin
Swift",https://www.jumpit.co.kr/position/17849,"• 저희는 매 주 1회 스프린트 회의를 통해 각 구성원들이 스스로 할일을 정하고 일정을 조율하는 방식으로 업무를 수행하고 있습니다.
• 때로는 탑다운 방식으로 급한 이슈를 처리하는 경우도 있습니다.
• 가능하면 재택근무를 선호합니다. (매 주 1회 스프린트 회의때만 출근하고 있습니다.) 
• 새로 입사하시는 분들은 업무 적응 및 향후 원활한 협업을 위해 온보딩 기간동안 재택이 아닌 출근형태로 근무합니다. 
• 새로 입사하시는 분들을 위해 모든 구성원들이 온보딩 기간동안 함께 출퇴근하면서 적응을 도울 수 있습니다.
• 세미나, 스터디 참석을 권장하고 비용을 지원하고 있어요.
• 업무 관련된 도서는 언제든 살 수 있어요.
• 업무에 필요한 장비는 최대한 지원하고 있어요.
• 다양한 툴을 유료로 사용하고 있고, 좋은 툴이 있다면 제안하고 함께 사용할 수 있도록 언제나 열려 있어요."
먼치팩토리,"마감일
상시",React Native 프론트엔드 개발자,크로스플랫폼 앱개발자,"• Objective-C, Java, React-Native 등을 활용한 3년 이상 혹은 그에 준하는 개발 능력
• Objective-C, Java, React-Native 등을 활용한 서비스 개발 및 배포 경험 보유
• 자료구조, 운영체제, 알고리즘에 대한 이해 및 적용 능력 보유
• 다양한 문제에 대해 체계적인 원인 분석 및 해결 능력을 보유
• 팀원들과 원활히 커뮤니케이션 할 수 있는 스킬이 있으신 분
• 회사를 함께 키워 가실 의욕이 있으신 분
• 포트폴리오 제출 필수 - 필수 작성 내용: 프로젝트별 기여도 - 본인이 최소 50% 이상 참여한 화면만 넣어주세요.","• 마켓플레이스 서비스 구축 경험이 있으신 분
• 고난도 성능 문제 진단 및 해결 경험자
• 데이터 수집 및 분석 툴에 경험 및 관심이 있으신 분
• 콘텐츠 산업에 대한 관심이 많으신 분
• 주도적으로 과업을 설정하고 해낼 때 성취감을 느끼시는 분","경력
경력 3~10년","React Native
iOS
Android OS
Objective-C
Java",https://www.jumpit.co.kr/position/12510,"• 장비지원 : iMac 또는 MacBook Pro with 27인치 모니터
• 점심 제공
• 커피 음료 과자 무한 제공
• 도서/세미나/스터디/강의 성장 지원
• 명절 선물 지급
• 논현역에서 1분 거리
• 근무시간 : 탄력근무제
• 고용형태 : 정규직 (수습기간 3개월, 월급 동일)"
오토피디아,"마감일
상시",React Native 개발자,크로스플랫폼 앱개발자,"• HTML, CSS 및 Javascript (Node.js) 생태계에 익숙하신 분
• Typescript 및 hook 기반 React와 React Native 개발 경험이 풍부하신 분
• 2년 이상의 React Native 앱 개발 경력이 있으신 분
• GraphQL API와 Apollo client를 활용한 개발 경험 또는 깊은 이해가 있으신 분
• Git과 GitHub를 통한 협업 경험이 있으신 분
• 서버 개발자, 디자인 직군과 원활히 소통하는 능력을 갖추신 분","• Webpack 등 모듈 번들러에 대한 깊은 지식이 있으신 분
• iOS 및 Android 네이티브 개발 경험이 있으신 분
• 백엔드 개발자 및 디자이너와의 원활한 소통 능력이 있으신 분
• UI/UX 개선과 관련된 고민을 좋아하시는 분
• 클린 코드를 사랑하시는 분
• 오픈소스 Contribution 경험이 있으신 분
• 코드 리뷰에 긍정적이고, 원활한 커뮤니케이션이 가능하신 분
• Node.js (Nest.js) 기반 백엔드 서버 개발 경험이 있으신 분
• 스스로 할 일을 정하고 제시할 수 있으신 분
• 닥터차의 방향성에 공감하고, 팀원들과 적극적으로 소통할 수 있으신 분","경력
경력 2~10년","React Native
TypeScript
GraphQL
Apollo
Git
GitHub
React
Node.js
JavaScript",https://www.jumpit.co.kr/position/7781,"＜개발은 장비빨이죠! 닥터차 서비스개발팀은 이런 걸 제공해요＞
• 최신 M1 맥북 및 32인치 4K DELL 모니터 를 지급해드려요.
• 무한리필 되는 간식과 원두 커피가 준비되어 있어요.
• 팀 별로 인당 월 3만원의 회식비를 지원해드려요.
• 직무 관련 도서 구입비, 세미나 참가비 지원해드려요.
• 주 40시간 유연 근무제를 통한 자유로운 출퇴근 시간. (출근 8~11시, 코어타임 2~5시)
• 눈치 보지 않고 자유롭게 1시간 단위 휴가를 사용해요.
• 자유롭고 수평적인 문화 속에서 프로덕트를 만들어나가요."
와탭랩스,"마감일
상시",모바일 앱 개발자,크로스플랫폼 앱개발자,"• Flutter를 사용한 모바일 앱 개발이 가능하신 분(필수)
• 모바일 앱 개발 5년 이상 경험이 있으신 분
• 모바일 푸시 개발이 가능하신 분
• Android / iOS 스토어 모바일 앱이 가능하신 분
• 서버 API 연동 및 웹 연동 기능 개발이 가능하신 분","• 데이터 시각화 및 UI/UX 개선 기획 경험이 있으신 분
• 웹 앱 개발 경험이 있으신 분
• 서비스 운영 및 모니터링 서비스 사용 경험이 있으신 분","경력
경력 5~12년","iOS
Android OS
Flutter",https://www.jumpit.co.kr/position/15753,"[일하는 방식]
• 호칭은 이름 뒤에 '님'을 붙여 사용하고 직급이 없는 수평적인 문화를 지향합니다
• 불필요한 회의를 지양하며, 업무상 이슈 및 공유 사항은 필요할 때 수시로 미팅합니다.
• 매주 금요일은 업무보다는 '공유세션'이라는 이름으로 팀원 뿐만 아니라 타 직무 멤버와 협업을 장려합니다.
한 주를 되돌아보고 업무를 공유하거나 창조적 발상을 실현하기 위한 준비 시간을 갖습니다.
• 수평적 토론 문화를 지향하므로, 타 멤버에 자유롭게 피드백 의견을 제시할 수 있습니다.

[업무 환경]
• 유연근무(시차출근제) 시행으로 오전 11시까지 자율적으로 출근할 수 있습니다.
• 강남역 9번 출구에서 3분 거리에 있습니다.
• 자율복장으로 일하기 편한 옷차림이 가장 좋은 옷차림입니다.
• 최신 맥북 또는 그램이 제공됩니다.

[혜택 및 복지]
• 무제한 연차를 지원합니다. 필요한 때에 원하는 만큼 휴가를 사용할 수 있습니다.
• 복지 포인트를 연간 240만원 지원합니다.
• 본인이 읽는 책이면 어떤 책이든 회사에서 구매해 드립니다.
• 세미나, 교육 등 참석을 권장하고 비용을 지원합니다.
• 직계가족 4인까지 건강검진 비용을 제공합니다.
• 직무 관련 외부 교육 신청 비용을 지원합니다.
• 본인의 성장에 도움이 되는 업무와 연관된 강의라면 회사에서 구매해 드립니다.
• 본인과 가족 생일에는 소중한 분들과 보낼 수 있도록 16시에 퇴근합니다.
• 간식과 음료가 언제나 마련되어 있습니다.
• 금요일은 회사에서 점심식사를 제공합니다. 전직원과 함께 즐거운 식사시간을 보내세요."
에이아이이엑스,"마감일
2023-07-25","IOS, Android 크로스 플랫폼 앱 개발자",크로스플랫폼 앱개발자,"• Swift, Kotlin, Flutter 개발 경력 4년 이상
• IOS 및 Android 다양한 버전 대응 경험
• UI/UX 이해
• AI/ML에 대한 관심과 이해가 있으신 분","• AI/ML 경험
• CI/CD 경험
• 디지털 헬스케어 서비스 경험
• Clean architecture/MVP/MVVM 등 아키택쳐 경험","경력
경력 4~7년","Swift
Kotlin
Flutter
AI/인공지능
MachineLearning",https://www.jumpit.co.kr/position/17813,"• 100% 재택근무 및 자율근무 제도(이슈 발생시 출근)
• 직무능력 향상 교육지원
• 상위급 연봉수준 및 스톡옵션 기회 제공
• 수평적 업무환경"
솔닥,"마감일
상시",Mobile APP 개발,크로스플랫폼 앱개발자,"• 3년 이상의 react-native 앱 개발 경력이 있거나 그에 준하는 실력을 갖추신 분
• 서비스 앱 1개 이상 출시 경험
• JavaScript/TypeScript, TypeScript Style에 능숙하신 분
• Android/iOS 다양한 환경과 디바이스에 적합한 UI/UX에 전반적인 이해를 갖춘 분
• 요구사항에 대한 빠른 분석과 피드백이 가능하신 분
• 백엔드 개발자, 디자이너, 기획자와의 원활한 협업 능력을 가지고 있는 분","• Android / iOS Native 앱 개발 경험이 있으신 분
• BridgeModule을 사용하신 경험이 있으신 분
• 프로젝트 구조화와 깔끔한 코드를 중시하시는 분
• Android, iOS 스토어 배포를 경험하신분
• WebRTC 기술을 사용한 화상통화 앱 개발 경험이 있으신 분","경력
경력 3~10년","React Native
TypeScript
WebRTC
JavaScript
Android OS
iOS",https://www.jumpit.co.kr/position/17330,"• 다양한 사람들 : 의사, 약사, 건강 전문가 등 전혀 다른 영역의 사람들과 마음껏 만나볼 있으세요
• 최신형 장비 지원
　- 최신형 맥북이나 삼성 노트북, 24인치 델 모니터 지급(직무에 따라)
• 성장지원
　- 직무교육비 지원
　- 도서구입비 지원
• 사내 문화
　- 주 5일 근무 및 자율 복장제
　- 유연한 출근 퇴근 제도 : 현재는 9/10시 선택해서 출근하고 있습니다
　- 솔닥데이 시행(월 1회 조기 퇴근)
　- 호칭은 모두 '님' 으로 수평적 관계를 지향해요
• 생활지원
　- 연차,경조,병가,특별휴가
　- 우수사원 및 장기근속자 포상휴가 
　- 명절,생일선물 지급
　- 스톡옵션(직무에 따라 제한적 지급)
• 건강 및 휴식 지원
　- 4대보험 
　- 음료,간식 제공(커피 머신)
　- 점심 식권 제공
　- 야근식비, 교통비 제공
• 팀 모두가 주기적으로 업무문화 개선"
넛지헬스케어,"마감일
상시",[병역특례] Flutter 개발 산업기능요원 모집,크로스플랫폼 앱개발자,"• 경력 : 무관 (신입도 지원 가능)
• 병역특례 대상자","• Flutter 개발 및 서비스 운영 경험이 있으신 분
• Slack을 이용한 커뮤니케이션이 가능하신 분
• 원활한 커뮤니케이션 능력을 보유하신 분
• 팀 단위에서 Git 사용 경험 보유하신 분
• Flutter 라이브러리 개발 및 배포 경험이 있으신 분
• iOS/Android개발 경험(기존 네이티브)이 있으신 분","경력
신입~3년","Flutter
Docker
iOS
Android OS
Slack",https://www.jumpit.co.kr/position/17691,"• 프리미엄 프라이데이 운영 (매월 마지막 주 금요일 오전 근무만)
• 죠샌드위치 역삼키토선생점 직원 할인가 제공 (50% 할인)
• 식대 지급 및 복지포인트 제공
• 스낵바 (음료, 스낵 등이 무한 제공)
• 생일 당일 선물 선택 및 오후 반차 제공
• 창립기념일 특별 휴가 제공 (매년 7월 27일)
• 자유로운 연차 사용 분위기 ⇒ 미사용 연차는 수당으로 지급
• 강남 유명 피부과 제휴 (모든 시술 50% 할인 혜택 제공)
• 자유 복장, 회식 및 야근 강요 없음
• 쾌적한 사무실 환경 (신사옥 이전)
• 경조 휴가 및 경조사비 지원
• 장기근속자 포상 Refresh휴가 지급 (만 3년, 5년, 7년)
• 개발에 필요한 최신형 개인 장비 제공 (맥북 프로 M1, 듀얼 모니터 등)
• 해외 컨퍼런스 지원 (참가비/항공료/숙박비용 등)
 ⇒ 백엔드 개발자 : AWS re:Invent
 ⇒ 웹 프론트엔드 개발자 : Facebook F8
 ⇒ 안드로이드 개발자 : Google I/O
 ⇒ iOS 개발자 : WWDC"
