회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지
미디어로그,"마감일
상시",미디어로그(LG그룹) 웹 하드 3.0 SM 경력 채용,서버/백엔드 개발자,"• Java, Spring, Spring Boot, JSP 개발 스킬 필수
• Oracle, MariaDB
• Linux","• LG U+ SI/SM 업무 경험
• 서버 간 연동 처리 경험 (restful, kafka 등)","경력
경력 10~15년","Java
JSP
Spring Boot
MariaDB
Oracle
Linux",https://www.jumpit.co.kr/position/16607,"• 통신비 지원
- U+유모바일 음성무제한 요금제 지원

• 자녀 학비 지원
- 유치원부터 대학교까지 학자금 전액 지원 (자녀 수 제한 없음)
- 초등학교/중학교/고등학교 입학 선물 제공

• 그룹사 제품 할인
- LG그룹사 제품 할인
- LG 계열사 Family Card 할인

• 경조사 지원
- 결혼 축하금 (100만원)/ 축의 화환 제공
- 출산 축하 선물 지급
- 부모님 환갑 또는 칠순 축하금 지원
- 조의금 및 장례물품 지원
- 경조휴가 제공

• 기념일 지원
- 임직원 생일 기념 선물 제공
- 멀티 복지포인트 제공 (年 100만 포인트)
- 교육, 여행, 레저, 문화생활 등 자기개발/여가활동 비용

• 의료비
- 임직원/배우자/자녀/부모 의료비 지원(연간 150만원)

• 단체상해보험 가입
- 임직원/배우자 단체 상해보험 가입(암 진단금 3,000만원 등)

• 종합 건강검진
- 임직원/배우자 정기적 종합 검진 실시

• 휴가 제도
- 연차 외 Refresh 휴가 5일 제공
- 장기근속자 포상금 및 휴가 부여
- LG그룹 창립기념일 휴가

• 휴양 시설
- 리조트 및 콘도 임직원 할인가 이용(한화/대명/곤지암)

• 동호회 지원
- 스포츠/레저/취미활동 등 동호회 활동 지원

• Work & Life 밸런스 지원
- 월 2회 Smart Working Day (오후 5시 퇴근)
- 유연근무제 운영

• 셔틀버스 지원
- 디지털미디어시티역 ↔ 미디어로그 본사

• 교육 지원
- 전사 교육 및 개인 직무교육
- 도서구입비 지원
- 어학교육 지원"
지바이크,"마감일
상시",[지쿠터] PHP / Laravel,서버/백엔드 개발자,"• 해당 경력 3년 이상
• Laravel 사용 경험이 있으신 분
• 코드리뷰에 적극적이신 분
• Restful API와 같은 HTTP를 이용한 API 서비스 개발 경험이 있는 분
• Modern PHP Programming, OOP, TDD 에 대한 이해와 활용이 가능한 분
• RDB 또는 NoSQL 사용 경험이 있으신 분
• 자신의 결과물에 대해 문서로 표현하고 이를 공유 가능하신 분
• 다양한 부서와 협업 및 커뮤니케이션이 원활하신 분
• 변화를 두려워하지 않고 꾸준히 학습하며 성장을 원하시는 분","• 대규모 트래픽 서비스 환경에서 개발 및 운영 경험이 있으신 분
• 대용량 배치 개발 및 운영 경험이 있으신 분
• Spring Boot(Kotlin) 기반으로 실무 경험 있으신 분","경력
경력 3~10년","Laravel
Apache HTTP Server
REST API
PHP
RDB
NoSql
MSA
Spring Boot
Kotlin",https://www.jumpit.co.kr/position/1583,"• 영어이름으로 실현하는 수평적 조직문화!
 지쿠터엔 직위 직급 없이 영문 닉네임으로 존칭합니다.

• 화려한 장비가 나를 감싸고!
 맥북 프로 및 와이드 모니터 등 직무에 필요한 개인장비를 제공해요.

• 자유로운 환경에서 샘솟는 업무열정!
 딱딱한 복장은 No! 딱딱한 근무시간도 No!
 자유로운 복장과 탄력 근무, 재택근무 제도가 편안한 업무환경을 보장합니다.

• 열심히 일한 그대, 리프레쉬는 자유!
 연차, 반차, 반반차까지 자유롭게 사용할 수 있습니다.

• 이왕 쉬는 거 좋은 곳에서 쉬겠습니다!
 편안한 휴식을 위해 법인 콘도 회원권을 통해 휴양시설을 지원합니다.
 전국 주요 호텔 및 리조트와 제휴를 통해 저렴하게 이용할 수 있도록 지원합니다.

• 그대는 일에 집중! 배고픔은 우리가 챙겨드릴게요!
 식대 제공과 더불어, 다양한 간식과 음료가 가득한 스낵바가 있습니다.

• 지쿠터와 바람만 있으면 어디든 갈 수 있어
 지바이크 직원이라면 무료로 지쿠터를 이용할 수 있습니다.
 더워지는 여름, 출퇴근길 땀냄새와 함께 가지말고 지쿠터로 슝!

• 일만 해선 우리사이 친해질 수 없잖아요!
 업무 외에도 동료 간 단합과 리프레쉬를 위해, 조기퇴근과 함께하는 사내 동호회 활동을 지원합니다.

• 기쁨도 슬픔도 우리 함께해요.
 설/추석 명절, 생일, 결혼기념일 등에 경조금, 경조휴가 지급됩니다. 

• 근로기준법은 당연히 지키기로 약속!
 4대보험, 퇴직연금, 연차 제공, 휴게시간 제공 등 권리를 누리세요.

• 나도 지쿠터 사업자!
 내 직장이 곧 황금알을 낳는 거위, 지쿠터에 투자해 수익을 공유할 기회가 있어요."
데이터비,"마감일
상시",백엔드 엔지니어 (NodeJS),서버/백엔드 개발자,"• 결제 기능 개발 경험
• AdonisJS 프레임워크를 활용한 개발 경험
• Python 개발 경험
• AWS를 이용한 개발 경험","• 데이터와 소프트웨어 기술이 사람간의 의사소통을 더 원활하게 도울 수 있다고 믿는 분
• 미래의 성장과 성공을 위한 계산된 위험을 두려워하지 않는 분
• 자연어 처리 기술 개발과 활용에 대한 관심 및 경험이 많은 분
• 새로운 것을 배우고 성장하고자 하는 욕구가 강한 분
• 말보다는 결과물을 통해 동료의 신뢰를 쌓으실 분
• 상사와 동료의 의견이 본인의 의견과 다를 경우 근거를 가지고 자신의 주장을 이야기할 수 있는 분
• 영어 의사 소통 능력 향상에 관심이 있는 분
• 컴퓨터 관련 전공 4년제 이상","경력
신입~10년","Node.js
AWS
Python
AdonisJS",https://www.jumpit.co.kr/position/16273,"[보상 및 근무 조건]
• 머신러닝, 딥러닝 인프라(GPU 등)에 대한 아낌없는 투자
• 최신 노트북과 복수의 모니터 등의 개발 업무 환경 구성
• 개발 경력에 따른 평균 연봉 이상의 급여 제공 (열정 페이 없음)
• 급여와 별도로 성과에 따른 성과급 및 스톡옵션 제공
• 4대 보험
• 자유로운 출퇴근 복장 (사회에 물의를 주지 않는 범위 안에서)

[기업문화 및 복지]
• 대표를 포함한 모든 직원이 개발에 참여하고, 함께 배우면서 만들어가는 문화
• 아이디어에 대한 자유로운 논의, 구현, 테스트를 장려하는 분위기
• 개발자가 개발에만 몰두할 수 있는 업무 환경
• Slack, Notion 등의 협업툴을 이용한 효과적인 협업
• 회사에 대한 기여도에 대해서만 성과 평가
• 불필요한 야근 및 회식 없음
• 비효율적인 회의, 보고서 작성 없음
• 각종 간식 무제한 지원. 원하는 종류 신청 가능
• 그 외 문화와 복지에 대한 아이디어가 있으면 대표에게 직접 건의"
미디어로그,"마감일
상시",미디어로그(LG그룹) 풀스택 개발자 (사내 업무 시스템),서버/백엔드 개발자,"• Java / Spring framework 개발 스킬 필수 (3년 차 이상)
• RDBMS 또는 NoSQL 데이터베이스 경험
• 협업 도구, 프로젝트 관리 도구, 소스 제어 도구 등의 활용 경험","• LINUX 경험
• 컴퓨터 공학 관련 전공 또는 관련 학위","경력
경력 5~10년","Java
Spring Framework
NoSql
Linux",https://www.jumpit.co.kr/position/16187,"• 통신비 지원
- U+유모바일 음성무제한 요금제 지원

• 자녀 학비 지원
- 유치원부터 대학교까지 학자금 전액 지원 (자녀 수 제한 없음)
- 초등학교/중학교/고등학교 입학 선물 제공

• 그룹사 제품 할인
- LG그룹사 제품 할인
- LG 계열사 Family Card 할인

• 경조사 지원
- 결혼 축하금 (100만원)/ 축의 화환 제공
- 출산 축하 선물 지급
- 부모님 환갑 또는 칠순 축하금 지원
- 조의금 및 장례물품 지원
- 경조휴가 제공

• 기념일 지원
- 임직원 생일 기념 선물 제공
- 멀티 복지포인트 제공 (年 100만 포인트)
- 교육, 여행, 레저, 문화생활 등 자기개발/여가활동 비용

• 의료비
- 임직원/배우자/자녀/부모 의료비 지원(연간 150만원)

• 단체상해보험 가입
- 임직원/배우자 단체 상해보험 가입(암 진단금 3,000만원 등)

• 종합 건강검진
- 임직원/배우자 정기적 종합 검진 실시

• 휴가 제도
- 연차 외 Refresh 휴가 5일 제공
- 장기근속자 포상금 및 휴가 부여
- LG그룹 창립기념일 휴가

• 휴양 시설
- 리조트 및 콘도 임직원 할인가에 사용(한화콘도/대명콘도)

• 동호회 지원
- 스포츠/레저/취미활동 등 동호회 활동 지원

• Work & Life 밸런스 지원
- 월 2회 Smart Working Day (오후 5시 퇴근)
- 유연근무제 운영

• 셔틀버스 지원
- 디지털미디어시티역 ↔ 미디어로그 본사

• 교육 지원
- 전사 교육 및 개인 직무교육
- 도서구입비 지원
- 어학교육 지원"
내몸랩,"마감일
상시","백엔드, 서버 개발자(경력 3년 이상)",서버/백엔드 개발자,"• Backend 개발 경력 3년 이상 혹은 그에 준하는 실력을 보유한 분
• Java Spring 개발에 익숙하신 분
• JPA 이해도가 높은 분
• 목표 지향적인 사고와 실행 역량이 높은 분
• 서비스의 품질과 안정성에 책임감을 가지고 주도적이고 지속적으로 개선하는 분","• Web RTC등의 스트리밍 서비스 개발 경험이 있는 분
• 네트워크/앱 보안에 대한 이해도가 높은 분
• JAVA 최신 개발 동향에 관심이 많은 분
• Redis 실무 적용 경험이 있으신 분
• IT의 이해를 바탕으로 최적화된 인터페이스 설계를 지향하는 분
• 동료들과 원활한 커뮤니케이션이 가능한 분
• 스타트업 근무 경험이 있는 분
• 운동을 좋아하거나 관심이 많으신 분","경력
경력 3~6년","JavaScript
Spring Data JPA
Java",https://www.jumpit.co.kr/position/11720,"• 원거리 출퇴근자 재택 근무 및 선택적 탄력근무제
• 4대 보험가입, 근로기준법에 따른 연차휴가제도
• 각종 경조사비 및 경조휴가 부여, 자유로운 연차 사용
• 직무에 필요한 장비 및 툴 전액 지원
• 자사 앱을 통한 운동 수업 무한 지원
• 수평적 조직 문화 및 자율 복장의 자유로운 업무 분위기
• 최소 주 1회 이상의 점심 맛집 탐방
• 스타트업이지만 오랜 업력의 유아 및 종합 생활용품 전문 기업인 ㈜킨도의 관계 회사로, 높은 안정성"
포스트보이저영업소,"마감일
상시",Java/ Kotlin 개발자,서버/백엔드 개발자,"• Java 또는 Kotlin 개발 경력 5년 이상
• Linux에서 웹 서비스 개발/운영 경험
• 블록체인 기술 분야에 관심 있는 분
• 해외 근무가 가능하신 분 (두바이, 싱가폴)","• MSA 개발/운영 경험
• Go, Rust, Koltin 개발 경험
• 대용량 트래픽의 서비스 개발 및 운영 경험
• 영어/일본어로 커뮤니케이션 가능한 분","경력
경력 5~10년","Java
Linux
Kotlin
REST API
AWS
GCP
Git
Jenkins
GitLab
Blockchain",https://www.jumpit.co.kr/position/13204,"• 산전/산후휴가 / 육아휴가
• 유급휴가 / 경조휴가 / 기념일 반차
• 법정복리 국민연금, 고용보험, 산재보험, 건강보험 완비
• 퇴직금, 각종 경조금, 야근수당 지급
• 야간 택시비 지원
• 인센티브 제도 (평가에 따른 지급)
• 매주 수요일 오후는 창의적인 활동과 재충전의 시간 ""크리에이티브 데이""
• 입사 5주년 월급 받고 한달 쉬는 ""하이파이브 휴가""
• 건강검진비 100만원 지원과 건강 검진일 1일 유급휴일 제공
• 사내 쉐프님이 직접 만들어 주시는 샌드위치, 김밥, 과일, 샐러드 등 건강하고 맛있는 조식, 점심 델리
• 출출함을 달래주는 스낵바 운영과 네스프레소 커피 무료 제공
• 외부 컨퍼런스 및 도서구입 지원"
위허들링,"마감일
상시",위잇딜라이트 백엔드 개발자,서버/백엔드 개발자,"• Python 기반 Restful API(Django & Django Rest Framework 등) 또는 Java/Kotlin Spring(Boot) 기반 Restful API 설계 및 구현 경험이 3년 이상 있으시거나 그에 준하는 역량을 갖추신 분 (신입은 아쉽지만 다음에 다시 꼭 만나요!)
• RDBMS(관계형 DB)에 대한 높은 이해도와 경험이 있으신 분
• 데이터 모델링 경험이 있고, 운영중인 스키마에 대한 분석이 가능하신 분
• Git 사용 경험 보유 및 GitHub/GitLab 기반 협업에 능숙하신 분
• 서비스 성능 최적화에 대한 고민이 많으신 분
• 다양한 기술스택을 접하고, 적용하는데 거부감이 없으신 분
• 변화에 유연하게 대처하고 새로운 도전을 즐기시는 분","• 아래 경험들을 해보셨다면 위잇딜라이트는 우대합니다.
 - Django & Django Rest Framework 또는 Python 기반 Restful API 설계 및 구현 경험이 3년 이상 있으시거나 그에 준하는 역량을 갖추신 분
 (신입은 아쉽지만 다음에 다시 꼭 만나요!)
 - RDBMS(관계형 DB)에 대한 높은 이해도와 경험이 있으신 분
 - 데이터 모델링 경험이 있으신 분
 - AWS등 클라우드 환경을 이용해본 경험이 있으신 분
 - Git 사용 경험 보유 및 GitHub/GitLab 기반 협업에 능숙하신 분
 - 서비스 성능 최적화에 대한 고민이 많으신 분

• 물론 이런 고민이나 경험을 보유하고 계신다면, 위잇딜라이트는 적극 환영합니다.
 - TDD (테스트 주도 개발) 경험 보유
 - 비동기 Restful API 프레임워크(Tornado, Sanic, FastAPI...) 개발 경험 또는 관심이 있으신 분
 - 리눅스 사용 경험 보유
 - CI/CD 구축 경험 보유
 - 문서화 및 다양한 툴 사용 경험 보유
 - 프로젝트, 팀 리딩 경험 보유
 - 스타트업 재직 경험 보유","경력
경력 3~10년","Python
Django
PostgreSQL
AWS
Git
GitLab
Linux
SQL
MySQL
MariaDB",https://www.jumpit.co.kr/position/4713,"• 주 35시간, 하루 7시간 근무 (표준근무시간 10:00-18:00)
• 근로기준법 이상 연차 제공 (1년차 14일, 2년차 20일)
• 근속 리프레시 휴가+휴가비 지원 (3,6,10년)
• 자유로운 연차사용
• 유연근무제 (시차출퇴근제)
• 점심 제공 (위잇 푸드)
• 명절 선물 제공
• 직원 건강검진 지원 (20만원 상당)"
더블미디어,"마감일
상시",백엔드 개발자 모집,서버/백엔드 개발자,"• (백엔드 담당 A) TypeScript, Node,js, NestJS, ORM에 능숙하신 분
• (백엔드 담당 B) Golang, Gin을 활용한 프로젝트 경험이 있으신 분
• 백엔드 개발 경력 2년 이상, 혹은 그에 준하는 실력을 가지신 분
• RDB / Redis 연동하여 프로젝트 경험이 있으신 분
• Git 활용에 능숙한 분","• OAuth2 서버 구축 및 서비스 적용 경험이 있으신 분
• CICD 에 능숙하신 분
• AWS 구축 및 활용 경험이 있으신 분","경력
경력 2~10년","TypeScript
NestJS
Golang",https://www.jumpit.co.kr/position/14733,"• 사내 카페 및 간식코너 (라면,과자,커피,음료 등)
• 성과급 제도
• 각종 경조사 지원
• 근로자의 날, 성탄절 선물 증정
• 명절 귀향비 지원
• 사내 영어강의 지원
• 도서구매 지원
• 직원 생일 파티"
로보코리아,"마감일
상시",백엔드 엔지니어,서버/백엔드 개발자,"• 새로운 기술 및 트렌드에 대해 끊임없이 관심을 갖고 이를 활용 하시는 분
• TypeScript 기반의 NestJS 프로젝트 개발 및 고도화 경험이 있으신 분
• MongoDB 등 NoSQL 기반 데이터베이스 설계 및 운영 경험이 있으신 분
• AWS 혹은 기타 클라우드 환경을 활용한 인프라 관리 경험이 있으신 분","• 글로벌 서비스를 위한 인프라 아키텍처 설계, 개발 경험이 있으신 분
• 애자일, 스크럼, 칸반 등의 개발 프로세스 경험이 있으신 분
• TDD(Test Driven Development)방식을 실무에 적용해 보신 분
• MSA 아키텍처 개발 경험이 있으신 분
• MLOps 파이프라인 개발 경험이 있으신 분
• Stripe 등을 활용하여 빌링 서비스를 구축해보신 분
• Datadog, Grafana, Prometheus 등의 서비스를 통한 모니터링 경험이 있으신 분

[이런 분을 선호합니다.]
- 놀 땐 놀고 일할 땐 일할 줄 아시는 분!
- 효율성과 프로세스를 고민하고 또 고민하시는 분!
- 자신의 성장을 위해 노력하시는 분!
- 매사에 주도적이고, 책임감이 강하신 분!

[LOVO Backend 팀이 사용하는 기술]
• TypeScript, NestJS, Express, NodeJS
• AWS ECS, EC2, Lambda, API Gateway, S3, CloudFront, SQS, SNS, SageMaker
• AWS CodePipeline, CodeBuild, CodeDeploy, CodeStar
• AWS CloudWatch, CloudTrail, DataDog
• Pulumi(IaC)
• MongoDB
• Stripe","경력
경력 3~10년","TypeScript
NestJS
MongoDB
NoSql
MSA
Datadog
Grafana
Prometheus",https://www.jumpit.co.kr/position/7827,"1. 자율과 효율의 근무 환경을 제공합니다.
• 오전 09:00 - 10:30 유동적인 출근 제도
• 자체적인 LOVO 휴가 제공 (+3일 유급휴가)
• 사내 최고급 헬스장 제휴 운영 
• 근속 3년 근무시, 리프레시 연차휴가 2주 및 200만원 제공

2. 업무와 성장을 위한 지원합니다.
• 전·월세지원금 월 25만원 지원금 (*강남~선릉 등 사무실 근처 이사)
• 직군별 최고급 장비 지원(M1 Pro Ram 32GB, Dell QHD 모니터 2대, 키크론 키보드, 아이맥, 맥북프로, 드로잉패드 등)
• 교육지원비 매월 10만원 지급
• 프로젝트 단위 성과급 지급
• 업무 관련 비용(소프트웨어 등) 100% 지원
• 인재추천비 300만원 지원

3. 개인적인 케어 및 입사시 선물세트도 지원합니다.
• 회사에서 사용하는 필요 경비 100% 지급
• 사내 쇼케이스 음료바 제공
• 국내 유명 수제맥주사의 시즌맥주 무제한! 무료 제공
• 사내 쇼케이스 스낵바 제공 및 신청하는 간식 구비
• Happy Holiday 선물세트 제공
• 풀케어 경조사 및 경조휴가 제공
• 입사시 최고급 축하선물세트 배송 (*현대백화점 과일세트)

※ 전문연구요원 운영 지정업체입니다."
렌딧,"마감일
2023-07-31",Senior Back-end Engineer,서버/백엔드 개발자,"• 관련 업무 경력 3년 이상
• Kotlin, Java 기반 웹 어플리케이션 프레임워크(SpringBoot, SpringFramework 등) 를 이용한 개발/운영 경험이 있으신 분
• ORM(JPA, Hiberate 등) 에 대한 이해도가 있으신 분
• 데이터 저장/분석 처리 시스템의 운영/구축 경험이 있으신 분
• 새로운 기술에 대한 관심과 도전의식이 있는 분
• 기술 스택: https://stackshare.io/lendit/lendit","• AWS를 활용한 서비스 개발/운영 경험이 있으신 분
• 알고리즘, 성능최적화, 분산 처리 등에 관심이 많으신 분
• 기술을 통한 금융 혁신에 도전하고 싶으신 분
• 컴퓨터공학/과학 또는 그에 준하는 학부 전공하신 분","경력
경력 3~20년","Kotlin
Java
Spring Boot
Spring Framework
AWS
Spring Data JPA
NoSql",https://www.jumpit.co.kr/position/14158,"[개발자의 성장을 돕는 활동]
• 개인성장을 위한 도서 구입, 온라인 강의 수강 무제한 지원
• github PR(Pull Request)을 이용한 적극적인 코드리뷰
• confluence를 이용해 문서화 장려
 
[혜택 및 복지]
렌딧맨 오피스 라이프 
• 유연한 근무환경, 워라밸 존중
• 테크핀개발그룹 재택 근무 : 주1회 그룹 전체 출근
• 유연근무제, 시차근무제 도입

가족 & 라이프스타일 저격 베네핏
• 근속 3년마다 리프레시(refresh) 휴가
• 휴가와 별개로 쓰는 오아시스 제도 - 매월 1회 3시간 늦게 출근 or 3시간 일찍 퇴근
• 매년 종합건강검진 지원 - 본인 및 배우자
• 단체 건강보험 가입 - 본인, 배우자, 자녀, 부모님
• 가족 경조사 땐 경조 휴가 및 경조금
• 명절마다 백화점 상품권 지급
• 장기 근속을 권장하는 입사 N주년 축하 이벤트
 
함께 성장에 진심, 업스킬링 베네핏 
• 개인 성장을 위한 강의, 세미나 및 컨퍼런스 지원
• 업무와 관련한 도서 구입비 지원
• 전사적인 PDR(Performance Development Review) 및 PRL(Performance Review for Leader)를 통해 적극적인 회고와 피드백 루프 구현"
