회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지
유진로봇,"마감일
2023-08-01",청소로봇팀 APP 엔지니어(안드로이드),안드로이드 개발자,"• 모바일(안드로이드) 애플리케이션 개발자로서의 입증된 경험
• 모바일 애플리케이션 설계 및 구축 경험
• Kotlin과 같은 적어도 하나의 프로그래밍 언어로 프로그래밍할 수 있는 기능 구현 경험자
• 소프트웨어 설계 및 프로그래밍 원리에 대한 탁월한 이해
• 의사소통 능력이 뛰어난 팀 플레이어
• 분석적 사고 및 문제 해결 능력
• 세부 정보 및 시간 관리 기술에 대한 높은 관심
• 컴퓨터 공학 또는 관련 분야의 BSc/BA; MSc/MA를 높이 평가","• 4년 이상 모바일 애플리케이션 설계 및 구축 경험(Android용)
• 새로운 개발 언어 및 환경을 학습할 수 있는 능력/의지가 있는 자
• 유연한(agile)개발 방식 경험자
• 멀티플랫폼 개발 경험
• 코드 리뷰 및 개선 가능자 
• 영어 능통자","경력
경력 4~10년","Android OS
C#
Xamarin
RxJava
Kotlin",https://www.jumpit.co.kr/positions?jobCategory=4,"• 연금·보험 : 퇴직연금, 국민연금, 고용보험, 산재보험, 건강보험
• 휴무·휴가·행사 : 유연근무제, 연차(1시간 단위), 근로자의날 휴무, 경조휴가, 출산휴가, 육아휴직, 사내 동호회 운영, 창립기념일 행사 등
• 보상·수당·지원 : 인센티브제, 직무 발명비, 각종 경조금 지원, 사우회 운영, 장기근속자 포상, 우수사원 표창/포상, 가족수당, 직원추천 포상금, 결혼 선물 로봇청소기 지급, 입사 웰컴키트 지급 등
• 교육·연수 : 신입사원교육(OJT/분기별), 사내 직무교육, 기술동향 자료집 제공 등
• 사내시설·장애인지원 : 사내 식당, 사내 카페, 사내 피트니스센터, 사내 정원, 사내 주차장, 사내 도서관
• 생활편의·여가행사 : 자기계발비 지원, 건강검진, 조식/중식/석식 제공, 출퇴근 교통비 지원, 회식비 지원, 리조트 지원"
리콘랩스(플리카plicar),"마감일
2023-07-31","모바일 앱(Main iOS, Sub Android) 개발자",안드로이드 개발자,"• Swift를 활용한 2년 이상의 개발 경력 또는 그에 준하는 경험이 있는 분
• 3D공간에 대한 이해(기초적인 선형대수)
• 새로운 기술, 프레임워크 적용에 거부감이 없는 분
• iOS 애플리케이션의 기본 지식 및 앱스토어 배포/관리 경험이 있는 분","• 안드로이드 Native 애플리케이션 개발 경험이 있는 분
• AWS 기반의 백엔드 인프라와 연동 경험이 있는 분
• 테스트에 대한 경험 및 지식을 보유하신 분
• Swift Standard Code Convention을 잘 지키시는 분
• 사용자 경험 개선에 관심이 있는 분
• 아래 키워드에 익숙하신 분
Slack, Notion, Figma, AWS, REST, Node.js , 3D, Serverless

• 개발환경
- 주요 언어: Swift , Javascript
- iOS 주요 라이브러리 : SwiftUI, RealityKit, ARKit
- 개발 도구: Xcode 14, Swfit Package Manager","경력
경력 2~10년","Swift
iOS
AR
Android OS
AWS",https://www.jumpit.co.kr/position/12713,"[개인의 라이프사이클에 집중해요]
• 근무시간은 스스로 정할 수 있는 유연근무제를 시행하고 있습니다.
• 사회적 거리두기와 관계 없이 최대 주2회 재택근무제도를 활용할 수 있습니다.

[업무에만 몰입하고 협업하며, 회사와 함께 성장해요]
• 무제한 도서 및 교육지원
- 리콘랩스팀에게 구성원의 성장 만큼 중요한 것은 없습니다.
- 성장에 도움이 된다면 회사에서 모두 지원하고 있습니다.

• 최고급 IT 장비 및 소프트웨어 지원
- 업무에 필요한 고사양 IT 장비와 소프트웨어를 지원하고 있습니다.

• 식대 및 간식지원
- 비용 걱정 없이 든든하게 식사하실 수 있도록 식대와 간식을 지원하고 있습니다.
- 메뉴선택 걱정 없이 넉넉한 점심/저녁식대(1식 13,000원/개인형 법인카드) 제공
- 스낵바 운영을 통한 무제한 간식, 음료, 커피(원두, 스타벅스 및 네스프레소 캡슐) 제공

• 리프레시 제도 지원
- 충분한 휴식과 재충전을 위한 리프레시 근무환경을 지원하고 있습니다.
- 3년마다 최대 10일의 리프레시 휴가와 여행지원금 제공
- 1년마다 일상에서 벗어나 원하는 장소 어디서든 최대 5일의 워케이션 근무환경 제공
- 자유로운 연차 사용으로 언제든 편하게 일상 재충전 가능한 조직문화 조성

• 경조사 지원
- 기본적인 경조사 이외에도 좋은 날에는 더욱 기쁠 수 있도록 리콘랩스팀 구성원이 함께 축하합니다.
- 생일 축하금, 생일반차 제공
- 결혼 축하금 , 결혼기념일 축하금, 출산 축하금 제공
- 우수사원 축하금 제공
- 명절(설/추석) 선물 제공

• 취미생활 지원
- 행복한 취미는 리콘랩스팀 구성원과 함께 즐길 수 있도록 소모임 활동을 지원하고 있습니다.
- 소모임 활동은 월 1회 문화의 날에 이뤄지며, 13시부터 활동하여 15시 이후 자율 퇴근 시행

• 오피스케어 지원
- 배경음악(BGM)이 흐르는 카페 같은 오피스(업무몰입도 UP)
- 업무에 불편함이 없는 최고의 오피스 환경 제공

• 수평적인 조직문화 추구
- 직급/연차에 상관 없이 누구나 자유롭게 발의하고 토론에 참여할 수 있도록 수평적 조직문화를 만들어 가고 있으며, 서로를 존중하는 ‘님’ 호칭문화를 사용하고 있습니다.
- 월 1회 타운홀 미팅을 통해 리콘랩스팀 성장과 혁신의 과정을 경험할 수 있으며, 내부 커뮤니케이션 협업 툴을 통해 투명하고 공정한 정보를 제공하고 있습니다."
더블미디어,"마감일
상시",안드로이드 개발자(부산연구소),안드로이드 개발자,"• 안드로이드 개발 경력 2년 이상
• Kotlin과 Java에 대한 이해도가 있으신 분 
• 서비스 개선에 대한 열의와 적극적인 태도가 있으신 분 
• 새로운 도전을 즐기시는 분","• Kotlin으로 실 서비스 개발해보신 분 
• 최신 라이브러리의 사용 경험 
• C++ 네이티브 라이브러리 사용 경험 
• 코드 리팩토링에 대한 경험과 이해가 높으신 분","경력
경력 2~7년","Kotlin
Java
C++
Android OS",https://www.jumpit.co.kr/position/2301,"• 사내 카페테리아&간식 무한 제공
• 장거리 근무자 교통비 지원
• 팀 회식비 매월 지원
• 외국어 교육 지원
• 장기 근속자 포상 제도 ( 3년,5년,10년)
• 건강검진 지원
• 도서 구입지 지원"
더블미디어,"마감일
상시",안드로이드 개발자 모집,안드로이드 개발자,"• Android 모바일 앱 개발 경력 3년 이상, 혹은 그에 준하는 실력을 가지신 분
• Java, Kotlin 에 능숙하신 분
• 앱 개발, 등록, 서비스 까지 모든 작업을 경험하신 분
• Git 활용에 익숙하신 분","• Flutter를 이용하여 앱 개발 경험이 있으신 분
• JetPack Compose를 이용하여 프로젝트 개발 경험이 있으신 분","경력
경력 3~10년","Java
Kotlin
Android OS
Git",https://www.jumpit.co.kr/position/14734,"• 사내 카페 및 간식코너 (라면,과자,커피,음료 등)
• 성과급 제도
• 각종 경조사 지원
• 근로자의 날, 성탄절 선물 증정
• 명절 귀향비 지원
• 사내 영어강의 지원
• 도서구매 지원
• 직원 생일 파티"
피플펀드컴퍼니,"마감일
상시",안드로이드 엔지니어(Kotlin),안드로이드 개발자,"• Kotlin을 활용한 안드로이드 개발 경험이 있으신 분
• 경험을 활용하는 것 이외에도 직관과 다양한 시각으로 문제를 해결할 수 있는 분","• RxJava3, RxAndroid 사용에 능숙한 분
• Dagger Hilt, Data binding, Retrofit2 + OkHttp3 사용에 능숙한 분
• 코드 개선 및 코드 리뷰에 적극적으로 참여하는 걸 즐기는 분","경력
신입~6년","Java
Kotlin
Android OS
OkHttp
Android SDK
ReactiveX",https://www.jumpit.co.kr/position/17363,"[Support & Refresh]
• 시차출퇴근제를 운영하고 있어 출근시간을 유연하게 조정할 수 있어요.
• 일주일에 최대 3일까지 집중 업무를 위한 재택 근무가 가능해요.
• 점심 시간은 자유롭게 지정해서 사용할 수 있어요.
• 야근 후 퇴근 시 택시비를 전액 지원해요.
• 입사 첫 날, 환영하는 마음을 담은 웰컴 키트를 제공해요.
• 강남역에서 도보 2분 거리! 사무실이 역과 바로 연결되어 있어요.
• 안마의자, 휴게실/수면실, 게이밍 공간 등 휴식을 위한 다양한 공간이 준비되어 있어요.
• 의자계의 에르메스, 사무용 의자의 끝판왕이라 불리는 허먼밀러 의자를 구비했어요.

[Healthy to be Wealthy]
• 점심 식대 만 원, 야근 시 저녁 식대 만 원을 지급해요.
• 그래놀라, 견과류, 탄산수, 우유 등 건강한 간식을 상시 비치해요.
• 매주 수요일 오후는 ‘해피아워’로, 맛있고 건강한 간식을 랜덤으로 제공해요.
• 피플러와 가족의 건강 관리를 위해 연 1회 종합건강검진을 전액/할인 지원해요.

[Family-Oriented]
• 가족에게 중요한 일이 생기면, 유연·단축 근무를 활용할 수 있어요.
• 생일을 맞은 피플러에게 유급 반차와 상품권을 선물로 드려요.
• 결혼 시 유급 휴가 2주, 축하금, 축하 화환을 지급해요.
• 경조사 종류에 따라 유급 휴가 및 경조금, 화환을 제공해요.
• 설, 추석 명절 각각에 상품권을 선물로 드려요.
• 본인 및 배우자 출산 시 유급 휴가, 재택 근무 등이 가능해요.

[Good Time with Good People]
• 2주에 한 번 랜덤으로 모여 서로를 알아가는 점심 식사를 해요.
• 신규 입사자를 위한 짝꿍(buddy)을 매칭해주고, 안정적인 적응을 돕고 있어요.
• 팀 빌딩을 위한 회식비를 지원해요.
• 취미를 함께 즐길 수 있도록 사내 동호회 활동을 지원해요.

[Growth for Next Step]
• 무제한 도서 지원 제도를 운영해요.
• 신규입사자들이 피플펀드에 대해 더 깊이 알 수 있도록 NJT(New Joiner Training)를 진행해요.
• 업무와 밀접한 연관이 있는 외부 교육 참석을 지원해요.
• 피플러가 가진 다양한 스킬 및 재능을 공유하는 사내 클래스를 운영해요.

피플펀드 일상이 궁금하다면?
https://pf-recruit.oopy.io/3a619869-d3d0-49eb-af71-0d3a0ccb7c9c"
42dot,"마감일
상시",Android (SDK) Engineer,안드로이드 개발자,"• Android Application 혹은 SDK 개발 경력 3년 ~ 7년
• Kotiln, Java 에 대한 이해도가 높으신 분
• Android 플랫폼과 디자인 가이드에 대한 이해가 있으신 분
• Android 최신 기술 및 Trend에 대한 관심과 이해가 높으신 분","• MVVM, Clean Architecture 등 설계 / 적용 경험이 있는 분
• Coroutine, Flow/Collect, Rx 등 관련 지식이 많으신 분
• 제품 출시 경험이 있으신 분
• 자동차 환경의 개발 경험이 있으신 분
• 서비스를 하나 이상 출시한 경험이 있으신 분","경력
경력 3~7년","Android SDK
Kotlin
Java",https://www.jumpit.co.kr/position/17349,"• 근무제도: 유연근무제를 통해 임직원이 효율적으로 근무시간을 활용할 수 있도록 지원합니다.
• 단체 상해보험: 본인 및 배우자, 직계가족의 상해보험 가입을 지원합니다.
• 경조사 지원: 본인 및 가족의 경조사 발생 시 지원합니다.
• 명절선물: 설/추석 명절에 각 300,000원의 명절선물을 지급합니다.
• 건강검진: 임직원의 건강검진을 매년 지원합니다.
• 저금리 대출지원: 회사와 협약을 맺은 시중은행을 통해 저금리 대출을 지원합니다.
• 복지카드: 연간 3,000,000원을 지급하며 자기계발, 문화/여가 활동 등의 목적으로 사용 가능합니다. (중도 입사 시 당해 년도 재직일수 기준으로 일할 계산 후 부여) 
• 휴양시설: 별도의 직원 전용 프라이빗 휴양시설(아난티 리조트)을 이용하실 수 있도록 지원합니다."
넛지헬스케어,"마감일
상시",[병역특례] 안드로이드 개발 산업기능요원 모집,안드로이드 개발자,"• ⭐병역특례 대상자이신 분 必 (현역/보충역)⭐
• 경력무관
• 안드로이드 모바일 환경에 대한 이해
• Kotlin을 이용한 안드로이드 앱 개발 경험이 있으신 분
• 원활한 커뮤니케이션 보유","• 안드로이드 앱 스토어 출시 경험 보유
• Slack 등을 이용한 비동기 문자 커뮤니케이션에 익숙한 분","경력
신입~3년","Kotlin
REST API
Git
Android OS
Slack",https://www.jumpit.co.kr/position/12001,"• 식대 지급 및 복지포인트 제공
• 스낵바 (음료, 스낵 등이 무한 제공)
• 생일 당일 축하 선물 발송 (선택가능)
• 자유로운 연차 사용 분위기 ⇒ 미사용 연차는 수당으로 지급
• 강남 유명 피부과 제휴 (모든 시술 50% 할인 혜택 제공)
• 죠샌드위치 역삼키토선생점 직원 할인가 제공 (50% 할인)
• 자유 복장, 회식 및 야근 강요 없음
• 쾌적한 사무실 환경 (신사옥 이전)
• 경조 휴가 및 경조사비 지원
• 장기근속자 포상 Refresh휴가 지급 (만 3년, 5년, 7년)
• 개발에 필요한 최신형 개인 장비 제공 (맥북 프로 M1, 듀얼 모니터 등)
• 해외 컨퍼런스 지원 (참가비/항공료/숙박비용 등)
　→ 백엔드 개발자 : AWS re:Invent
　→ 웹 프론트엔드 개발자 : Facebook F8
　→ 안드로이드 개발자 : Google I/O
　→ iOS 개발자 : WWDC"
우리요,"마감일
상시",[(주)우리요] 안드로이드 개발자,안드로이드 개발자,"• 알고리즘, 네트워크 프로그래밍 등 기본적 개발자 소양을 갖춘 자
• 서버/클라이언트 간 네트워크 시스템에 대한 이해
• Kotlin 개발 경험자
• 모바일 UX/UI 이해도 우수
• 다양한 이해관계자와 조직간 원활한 커뮤니케이션 능력을 갖춘 자","• 위치기반 서비스 개발 경험
• In-App Purchase 개발 경험
• Google Play Store 앱 등록 및 운영 경험
• iOS or Web/Server 개발 경험
• Clean architecture/MVP/MVVM 등 아키택쳐 설계에 관심
• Rxjava 개발 경험","경력
경력 3~10년","Java
Kotlin
Git
Android OS",https://www.jumpit.co.kr/position/17321,"• 휴무/휴가 : 생일포상휴가
• 생활편의 : 자유복장, 회식/야근강요 X, 간식/음료(커피, 차) 제공
• 교육지원 : 워크샵, 직무능력향상교육, 도서구입비"
42dot,"마감일
상시",IVI OS(Android Framework/AOSP) Engineer,안드로이드 개발자,"• 학사 학위 혹은 준하는 경험 소유자 (이공계열 우대)
• Android 및 Linux 기반 임베디드 시스템 개발 경력 5년 이상
• Linux 기반 미들웨어 (UI, Multimedia, Network 등) 개발 혹은 최적화 업무 경험
• C++ 혹은 Java/Kotlin 등 Android나 Linux 기반 임베디드 시스템 주력 언어 숙련자","• Android 및 Linux 기반 임베디드 시스템(Tizen, AGL, GENIVI)의 UI, Multimedia, Network 프레임워크에 대한 이해
• Android Surface Flinger 혹은 Wayland에 대한 경험이나 이해
• OpenGL ES 등의 H/W 가속 혹은 Primitive 3D 렌더링, Animation 경험
• PulseAudio, ALSA 등의 리눅스 멀티미디어 구조에 대한 이해
• Android NDK 기반 개발 경험","경력
경력 5~15년","android os
c++
java
kotlin
linux
network
embedded",https://www.jumpit.co.kr/position/15567,"• 근무제도: 유연근무제를 통해 임직원이 효율적으로 근무시간을 활용할 수 있도록 지원합니다.
• 단체 상해보험: 본인 및 배우자, 직계가족의 상해보험 가입을 지원합니다.
• 경조사 지원: 본인 및 가족의 경조사 발생 시 지원합니다.
• 명절선물: 설/추석 명절에 각 300,000원의 명절선물을 지급합니다.
• 건강검진: 임직원의 건강검진을 매년 지원합니다.
• 저금리 대출지원: 회사와 협약을 맺은 시중은행을 통해 저금리 대출을 지원합니다.
• 복지카드: 연간 3,000,000원을 지급하며 자기계발, 문화/여가 활동 등의 목적으로 사용 가능합니다. (중도 입사 시 당해 년도 재직일수 기준으로 일할 계산 후 부여) 
• 휴양시설: 별도의 직원 전용 프라이빗 휴양시설(아난티 리조트)을 이용하실 수 있도록 지원합니다."
엔에이치엔에듀,"마감일
상시",[NHN Edu] Android 개발자 채용,안드로이드 개발자,"• Java/Kotlin을 이용한 네이티브 앱 서비스 개발 경력 5년 이상 
• 다양한 앱 UI와 인터렉션 개발 역량","• Rx(RxJava, RxKotlin, Coroutine 등)를 이용한 서비스 개발 경험이 있으신 분
• MVI / MVP / MVVM 등의 디자인 패턴 이해와 개발 적용 경험이 있으신 분
• Clean Architecture, Clean Code 구현에 깊이 고민하고 개선해 보신 분
• KMM 프레임워크 적용 경험이 있으신 분
• RESTful API 설계 경험
• 새로운 기술을 익히는데 열정적이고 적극적으로 팀원에게 공유하시는 분","경력
경력 5~12년","Java
Kotlin
RxJava
Android OS",https://www.jumpit.co.kr/position/17586,"• 포괄임금제 폐지
• 근무시간을 내가 계획하고, 조정하는 '퍼플타임' 운영.
• 근속년수에 따라 1개월~6개월 유급 휴가를 지원하는 '안식월 제도'
• 주2회 장소에 구애 받지 않고 자유롭게 '리모트 워크' 근무.
• 30분 단위로 연차사용 가능
• 승진한 직원들을 위한 Refresh 휴가
• 조식·중식(재택근무시에도 식대 제공)·석식 지원, 사내카페·마트 지원
• 일반·종합건강검진 지원, 단체 상해보험 가입, 각종 경조사 지원, 휴양시설 지원, 명절상품권 지급, 자녀입학선물 지원, 계열사제품 할인, 사내 휘트니스 지원, 사내대출이자 지원, 어린이집 지원, 교통비 지원, 그 외 다수의 편의시설 및 복지 제공"
