회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지
다이얼로그디자인에이전시,"마감일
2023-07-31",AI/NLP R&D Engineer(연구개발팀 리더),개발 PM,"※ 자연어처리와 딥러닝 기반의 언어 모델 활용 경험 및 이에 대한 이해는 최우선 자격 요건입니다.
※ 관련 경력이 없으신 분은 선발하지 않습니다.

• 자연어처리와 딥러닝 관련 연구 및 개 등 관련 경력 3년 이상 있으신 분
• Tensorflow / Pytorch 등의 AI 프레임워크를 활용한 프로젝트 연구 개발 경험이 있으신 분
• 어텐션 메커니즘, 트랜스포머, BERT, GPT 등 알고리즘과 언어 모델을 활용한 트레이닝, 파인튜닝 등의 연구 개발 경험이 있으신 분
• AWS EC2, GCP 등 클라우드 기반의 서버 구축 경험이 있으신 분
• 엔지니어 이외의 다른 역할을 맡은 사람을 포함한 3인 이상의 팀에서 협업을 통한 제품, 서비스 개발을 해 보신 분 
• 상용화된 B2C 또는 B2B 제품, 서비스 개발 경험이 있으신 분
• 책임감을 바탕으로 하는 솔선수범의 리더쉽으로 개발 프로젝트의 리딩, 매니징 경험이 있으신 분
• 상대방의 입장을 반영하고 갈등 상황에서도 다양한 의견을 조율해 원만한 합의점을 도출해 낼 수 있는 분
• 본인의 생각을 명확하고 간결하게 논리적으로 전달할 수 있는 분
• 한국인 팀원과의 의사소통이 원활할 수준의 한국어 능력(외국인 지원자)","• NLP 및 유관 분야의 석사 이상으로 논문 작성 경험이 있으신 분
• 서버/백엔드를 이용한 개발 경험 또는 이해가 있으신 분(개발 언어, 프레임웍 무관)
• React, Flutter 등의 웹 UI 프레임웍을 이용한 개발 경험이 있으신 분
• Electron, PyQt 등을 활용한 데스크탑 애플리케이션 UI 개발 경험이 있으신 분","경력
경력 3~10년","PyTorch
TensorFlow
GCP
Python
AWS
Dialogflow
Amazon SageMaker
DeepLearning",https://www.jumpit.co.kr/position/17184,"(1) 근무 및 급여 조건
• 채용 형태 : 정규직 (수습2개월)
• 급여 및 연봉 : 7,000만원 ~1억원 범위에서 개인의 경력과 역량에 따라 협의를 거쳐 결정 
• 근무 장소 : 8호선 문정역에서 걸어서 5분 이내에 위치한 초역세권 사무실(3호선 가락시장역도 도보 10분 이내)

(2) 복지와 혜택
• 개발 장비 지원(m1pro급 맥북 + 모니터)
• 업무에 필요한 유료 소프트웨어 구매
• 커피 머신 구비 및 간식 무제한 제공
• 시간 외 근무가 2시간 이상일 시 야근 식대 제공
• 월 주차비 100% 지원
• 전체 회식, 팀 회식비 지원
• 눈치 보지 않고 연차, 반차 사용
• 경조사비 지원
• 명절 선물
• 5년 단위 장기 근속자 포상(상여금, 휴가)
• 연말 상여금"
이엘온소프트,"마감일
상시",개발PM (PM경력5년이상),개발 PM,"• 학력: 대학교졸업(4년) 이상
• 경력: 개발PM 경력 5년 이상
• 직급: 과장~부장급
• 개발 프로젝트 관리경험이 있으신 분
• 책임감이 강하고 긍정적인 마인드를 소유하신 분
• 제안서 및 문서 작성을 통한 협업을 선호하시는 분
• 제안서 작성 및 발표 경험이 있으신 분
• 사업관리 산출물 작업이 가능하신 분
• 고객과의 커뮤니케이션 능력이 좋으신 분","• 컴퓨터공학 및 관련 전공
• 정보처리기사 자격증 소지자
• 검색엔진 구축 경험이 있으신 분
• 프로젝트 설계/분석 및 개발인력 리딩 경험이 있으신 분
• SI 프로젝트 수행 경험이 있으신분","경력
경력 5~20년","Java
JSP
HTML5
CSS 3
jQuery
JavaScript",https://www.jumpit.co.kr/position/16203,"[ELONSOFT 임직원을 ON AND ON하게 만드는 복리후생과 근무 환경]
• 장기근속 포상 : 5년, 10년 리프레시 유급휴가 및 휴가비 지원
• 우수사원 포상 및 포상금, 상여금 지급
• 경조휴가 및 경조금 지원
• 종합건강검진비용 지원
• 도서 구매비 지원
• 자기 계발을 위한 교육 및 인강 콘텐츠 지원
• 자격증시험 응시료 지원 및 자격증 합격 축하금 지원
• 하계 휴가비 지원
• 생일 축하 상품권 지원
• 야근식대 및 야근교통비 지원
• 각종 음료와 간식, 커피 제공
• 연차 사용 장려 : 눈치 보지 말고 사용하세요!
• 해외워크샵 : 해외에서 리프레시 하자! 
• 수평적 조직문화
• 자율복장"
해줌,"마감일
상시",[에너지IT기업 해줌] 프론트엔드 개발 팀장,개발 PM,"• 관련 업무 경험 7년 이상인 분
• 주요 프론트 기술(HTML, CSS, JavaScript)사용에 익숙하신 분
• 주요 프론트 라이브러리(React, Vue)를 사용한 개발 경험이 있으신 분
• 반응형 웹 개발에 대한 이해가 있으신분
• 구조화나 재사용성을 고려한 시스템 설계를 해보신 분 혹은 관심이 많은 분","• UI/UX 개선과 관련된 고민을 좋아 하시는 분
• 주요 UI컴포넌트( Button, ComboBox, List, ScrollBar, Grid)구현 경험
• 서버 개발자, 디자인 직군과 원활히 소통하는 능력
• Vue.js 경력
• 새로운 기술에 관심이 많고, 자기 개발을 위해 노력하시는 분
• Design System을 정리해서 개발해본 경험이 있는 분","경력
경력 7~20년","JavaScript
CSS 3
React
Vue.js
HTML5
AngularJS",https://www.jumpit.co.kr/position/13238,"• 8시~10시 내가 원하는 시간에 출근하는 선택적 근로시간제 진행중!
• 매월 1회, 자기개발 하러 조기퇴근 gogo!
• 깨끗하고 운동장 같이 넓은 사무실
• 열심히 일한 당신, 떠나라! GWP를 위한 분기별 플레이샵
• 술만 마시는 회식은 노노! 맛있는 것 먹고 즐길 수 있는 회식 분위기
• 나만을 위한 기념을 만들 수 있는 휴가, 마이데이
• 아프지말아요. 입사와 동시에 가입되는 실비, 운전자보험
• 고민거리 걱정마세요, 전문상담사에게 받는 심리상담, EAP
• 3년, 5년, 7년 ... 오래오래 함께해요, 장기근속 휴가/휴가비 지원
• 매일 다른 구성원들과의 맛있는 점심식사, 비용 지원까지!
• 부서별 원활한 소통을 위한 간식비 지원
• 볼링, 영화, 풋살 등 동호회 적극 지원"
유진로봇,"마감일
2023-08-01",개발본부 PM,개발 PM,"• 공학계열 전공자
• 영어 활용 능통자 : 글로벌 협력 프로젝트 진행 (필수)
• 프로젝트 관리 경력 5년 이상
• 대인 관계와 커뮤니케이션 능력 우수자","• 제품기획부터 양산 전과정 경험자
• 로봇 개발/외국 회사 협업 경험자","경력
경력 10~15년","FW
Analog
Embedded",https://www.jumpit.co.kr/position/7147,"• 연금·보험 : 퇴직연금, 국민연금, 고용보험, 산재보험, 건강보험
• 휴무·휴가·행사 : 유연근무제, 연차(1시간 단위), 근로자의날 휴무, 경조휴가, 출산휴가, 육아휴직, 사내 동호회 운영, 창립기념일 행사 등
• 보상·수당·지원 : 인센티브제, 직무 발명비, 각종 경조금 지원, 사우회 운영, 장기근속자 포상, 우수사원 표창/포상, 가족수당, 직원추천 포상금, 결혼 선물 로봇청소기 지급, 입사 웰컴키트 지급 등
• 교육·연수 : 신입사원교육(OJT/분기별), 사내 직무교육, 기술동향 자료집 제공 등
• 사내시설·장애인지원 : 사내 식당, 사내 카페, 사내 피트니스센터, 사내 정원, 사내 주차장, 사내 도서관
• 생활편의·여가행사 : 자기계발비 지원, 건강검진, 조식/중식/석식 제공, 출퇴근 교통비 지원, 회식비 지원, 리조트 지원"
모빌린트,"마감일
상시",ASIC Project Manager,개발 PM,"• 5년 이상 유관 경력이 있으신 분
• ASIC 개발 전체 Flow에 대한 실무 경험이 있고 이해도가 높으신 분
• Digital SoC 양산 경험이 있으신 분
• 디자인하우스 및 OSAT 업체 커뮤니케이션 리딩 경험이 있으신 분
• IP 스펙 결정 및 소싱 경험이 있으신 분","• AP 양산 경험이 있으신 분
• 인증 관련 경험이 있으신 분
• DRAM 수급 경험이 있으신 분
• SoC Architecture 및 Bus Architecture에 대한 이해도가 높으신 분
• 팹리스, 디자인하우스에서 유관 경력이 있으신 분","경력
경력 5~20년","FPGA
Linux
HW
ASIC",https://www.jumpit.co.kr/position/13369,"[ 여러분의 성장을 응원합니다 ]
• 전 세계가 주목하는 AI 반도체라는 인공지능, 반도체 분야의 최첨단 기술을 접할 수 있습니다.
• AI 반도체 특성상 타 분야 엔지니어와의 교류가 필수적이며 인공지능 솔루션 기업들과 협업할 기회가 많기 때문에 다양한 경험을 통해 시야를 넓히고 융합형 인재로 성장할 수 있습니다.
• 열정적이고 성장에 욕심 많은 멤버들을 위해 세미나 참석비 지원, 도서구입비 지원 제도를 운영하고 있습니다.
• 직무발명보상제도를 운영하여 멤버들의 역량 증진을 장려하고 성과에 대해 보상해드리고 있습니다.

[ 우리는 이렇게 일해요 ]
• 자율출퇴근, 자유복장을 원칙으로 하고 있습니다. 
• 공공기관에 준하는 휴일, 휴가 제도를 운영하며 연차는 자유롭게 사용하실 수 있습니다.
• 직급없이 님을 사용하며 스스로 업무를 관리하는 수평적 조직문화를 자랑합니다.
• 불필요한 문서 작업을 철저히 배척하고 직접적이고 빠른 의사소통으로 문제를 해결합니다.

[ Low-Risk & High-Return ]
• 열정페이가 아닌 열정이 샘솟는 페이를 지향합니다.
• 국내 AI 반도체 선도기업 중 규모가 작은 편으로, 지금 합류하시면 회사의 성장으로 인한 기쁨을 스톡옵션을 통해 금전적으로도 충분히 누리실 수 있습니다.
• AI 반도체는 차세대 비메모리 반도체 패권을 결정짓는 국가전략산업으로 미국은 2025년까지 56조원, EU는 2030년까지 182조원, 우리 정부 역시 1조 4000억원의 투자를 발표했습니다.
모빌린트는 국내최고수준의 AI반도체 기술력을 활용하여 지금도 여러 과제에 참여하고 있으며, 앞으로도 정부 지원을 통해 안정적으로 AI 반도체 기술 국산화에 도전할 계획입니다.

[ 쾌적한 근무 환경 ]
• 멤버들이 연구 개발에 집중하실 수 있도록 편안한 환경 조성을 최우선 목표로 하고 있습니다.
• 역삼역 3분 거리에 있는 넓고 깨끗한 사무실에서 근무합니다.
• 신규 멤버가 입사하실 때마다 최고 사양의 컴퓨터와 듀얼 모니터를 새로 구입해드리며 필요한 소프트웨어를 요청하시면 지체 없이 지원해드립니다.

[ 그 외 소소한 복지 제도 ]
• 4대 보험 및 건강검진 지원
• 중식 및 석식 제공
• 간식, 음료 무제한 제공 (원하는 메뉴 요청)
• 고급 캡슐 커피 무제한 제공
• 명절, 연말 등 특별한 선물"
미디어로그,"마감일
상시",미디어로그(LG그룹) 개발 PM 채용,개발 PM,"• Spring, JPA, Vue 등 웹 어플리케이션 개발 경험
• RDBMS 또는 NoSQL 데이터베이스 경험
• 협업 도구, 프로젝트 관리 도구, 소스 제어 도구 등의 활용 경험
• 개발 산출물 작성 경험","• LINUX, AWS 경험자
• 컴퓨터 공학 관련 전공 또는 관련 학위","경력
경력 7~15년","Spring
Spring Data JPA
Vue.js
NoSql",https://www.jumpit.co.kr/position/16188,"• 통신비 지원
- U+유모바일 음성무제한 요금제 지원

• 자녀 학비 지원
- 유치원부터 대학교까지 학자금 전액 지원 (자녀 수 제한 없음)
- 초등학교/중학교/고등학교 입학 선물 제공

• 그룹사 제품 할인
- LG그룹사 제품 할인
- LG 계열사 Family Card 할인

• 경조사 지원
- 결혼 축하금 (100만원)/ 축의 화환 제공
- 출산 축하 선물 지급
- 부모님 환갑 또는 칠순 축하금 지원
- 조의금 및 장례물품 지원
- 경조휴가 제공

• 기념일 지원
- 임직원 생일 기념 선물 제공
- 멀티 복지포인트 제공 (年 100만 포인트)
- 교육, 여행, 레저, 문화생활 등 자기개발/여가활동 비용

• 의료비
- 임직원/배우자/자녀/부모 의료비 지원(연간 150만원)

• 단체상해보험 가입
- 임직원/배우자 단체 상해보험 가입(암 진단금 3,000만원 등)

• 종합 건강검진
- 임직원/배우자 정기적 종합 검진 실시

• 휴가 제도
- 연차 외 Refresh 휴가 5일 제공
- 장기근속자 포상금 및 휴가 부여
- LG그룹 창립기념일 휴가

• 휴양 시설
- 리조트 및 콘도 임직원 할인가에 사용(한화콘도/대명콘도)

• 동호회 지원
- 스포츠/레저/취미활동 등 동호회 활동 지원

• Work & Life 밸런스 지원
- 월 2회 Smart Working Day (오후 5시 퇴근)
- 유연근무제 운영

• 셔틀버스 지원
- 디지털미디어시티역 ↔ 미디어로그 본사

• 교육 지원
- 전사 교육 및 개인 직무교육
- 도서구입비 지원
- 어학교육 지원"
비티소프트,"마감일
상시",공공기관 SM사업 PM,개발 PM,"• 꼼꼼한 업무처리 , 일정관리 능력
• 시스템 개발 혹은 운영 프로젝트 경험자
• 프로젝트 실무수행(최소) 6년 이상
• 프로젝트 PM 경험 (최소) 2년 이상
• 프로젝트 전반에 걸친 공정상의 주요업무를 주도적으로 리딩","• 공공기관 관련 SM 프로젝트 경험이 있으신 분
• IT관련 전공자 혹은 그에 상응하는 기초지식을 가지신 분
• 고객의 니즈와 협업을 주도적으로 이끌어 내시는 분
• 동료와의 협업이 원활하신 분
• 프로젝트 개발 방법론 사용 경험이 있으신 분(애자일 등)","경력
경력 10~15년","Java
Spring
Spring Framework
Spring Data JPA
Mybatis
Oracle",https://www.jumpit.co.kr/position/17291,"• 가족은 가족이고 우리는 동료일 뿐
 - 8시~10시의 자유로운 출근시간, 8시간의 워라밸을 지켜야죠!
• 입사하면 살쪄요, 각오하고 오세요
 - 화려한 간식창고, 점심지원, 저는 바지를 새로 샀습니다 ㅠㅠ
• 휴가가 아쉬우면 5일 더 드려요
 - 기존 휴가 +5일의 휴가를 제공합니다.
• 오다 주웠다. 츤데레 대표님의 선물폭격
 - 넉넉치 못해도 섭섭치 않은 생일, 명절, 크리스마스 선물 지원
• 회식참여 절대 자유, 술 권유 일절 없음
 - 상사없이 동료끼리 먹는 회식, 소고기 먹어야 회식오는 사람도 있어요
• 아프지 마세요, 돈 벌어야죠.. 건강검진 1+1
 - 럭셔리 건강검진, 돈 벌려면 건강해야죠
• 사내 정치, 텃세, 그런거 없음!
 - 목격 시 제보 바람. 융단폭격 갑니다.(바른 회사 만들기 리더 작성)
• 공부하는 돈이 아까울 땐 회사가 낼게요!
 - 배움에 욕심 있는 사람을 적극 지원합니다"
지란지교데이터,"마감일
상시",보안솔루션 구축 PM / 프로젝트 관리 - 판교,개발 PM,"• 보안솔루션 구축 경력 2년 이상 
• 전산관련학과 전문학사 이상 
• 기술문서 작성 및 발표 능력 
• OS, DBMS, 네트워크, 보안, 프로젝트 관리 관련 지식 및 스킬","• 관련 분야 경력자 
• IT보안 관련 자격증 소지자","경력
경력 2~9년","Network
CentOS",https://www.jumpit.co.kr/position/16328,"1) 유연한 업무환경
• 유연근무 : 선택적 근로시간제 운영
• 원격근무 : 부서 재량 자유 자택 근무

2) 최상의 업무 환경
• 맥북프로, LG그램 최신 장비 지원
• 듀얼 또는 4K 모니터 지원
• 안마의자 / 헬스키퍼 운영
• 업무 식대 지원 및 24시 스낵바 운영

3) 자기계발 지원
• 직무 교육비 무제한 지원
• 도서 구매 지원
• 직무 발명 보상 제 운영 (특허출원 시 지원)

4) 가족복지 지원
• 가족 건강 검진 지원
• 장례 서비스 지원
• 보육료, 자녀학자금 지원

5) 친목 및 교류
• 사내 동호회 운영 
• 힐링 및 친목을 위한 사내 워크샵 연 1회 
• 신규 아이디어 경진 대회 (드림플랫폼/개인 사업 지원 프로그램)
• 그외 신년행사, 송년회, 월 팀 회식 운영

6) 기타 복지
• 5년 단위 장기근속 포상
• 체력 단련비 지원 
• 매년 종합 건강 검진 지원 (MRI/CT/초음파/내시경 포함)
• 생일선물, 명절선물 지원
• 해외 아동 결연 후원금 지원 제도 운영 (컴패션)
• 단체 상해/실손 보험 지원"
레드캡투어,"마감일
상시",IT 업무 프로세스 혁신 담당(PI),개발 PM,"• 경력 : 3년 이상
• 시스템 PI관련 업무 또는 개발 경력","• 대내외 고객 및 개발 직군과의 원활한 의사소통 능력 보유자
• 사내외 컨설팅 유경험자
• 프론트/백엔드 웹 서비스 개발 및 운영 유경험자","경력
경력 3~10년","Jira
Git
Confluence",https://www.jumpit.co.kr/position/17217,"• 공식홈페이지 : https://www.redcap.co.kr/
• 공식블로그 : https://blog.naver.com/redcapstory
• 복지포인트의 경우 연 40만원
• 기본연봉 외 연장근로 수당 별도
• 성과급 별도

[회사생활지원]
• 명절/창립기념일/근로자의날 복지포인트 지급
• 장기근속 포상
• 우수사원 포상

[생활안정지원]
• 주택구입 및 전세자금 대출
• 생활안정자금 대출
• 경조사 지원(경조금/경조휴가/상조회 운영)
• 자녀 학자금 지원(중,고등학교 및 대학교)

[건강제도지원]
• 종합검진 실시(본인 및 배우자)
• 직원 단체 상해보험 가입
• 독감 예방접종

[여가생활지원]
• 사내콘도지원
• 반반차 제도 운영"
오엔제이,"마감일
상시",개발팀 리드,개발 PM,"• 총 경력이 10년 이상이며, Java 최소 5년 이상 또는 그에 준하는 서버 역량 보유하고 계신 분
• 5년 이상 리딩 경험 및 프로젝트 관리하신 분
• 서비스(B2B, B2C) 운영 및 정책수립, 업무 프로세스를 경험하신 분
• AWS, GCP 등의 클라우드 서비스의 경험과 클라우드 지식 보유하신 분","• 풀스택 개발 경험 보유자
• 기술 트렌드에 밝고, 신기술 및 오픈소스 등에 대한 논의를 활발하게 할 수 있으신 분
• 서비스 초기부터 개발에 참여하고 서비스 런칭 및 운영, 유지보수 경험이 있으신 분
• 리딩 뿐만이 아닌, 직접 ‘개발’하며, 팀원들과 소통이 가능하신 분
• H/A, 최적화, 트러블슈팅, 보안 등 경험하신 분
• 팀원 및 회사 성장을 위해 함께 나아갈 수 있는 분","경력
경력 10~20년","java
spring
aws
react
typescript
Spring Data JPA
MySQL
Redis",https://www.jumpit.co.kr/position/15716,"• 유연 출퇴근 제도
　- 8시~10시 사이에 자유롭게 출근합니다.
• 자유로운 휴가 사용
　- 년차, 반차, 반반차 모두 자유롭게 사용 가능 합니다.
• 원하는 사양 장비 지원
　- 원하는 PC 및 장비로 업무 환경 세팅해 드립니다.
　- 의자는 SIDIZ로 제공해 드립니다.
• 매월 1회 맛집 탐방
　- 현재까지 고객 만족도 1000%"
