회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지,회사소개,주요업무
엔스테이지,"마감일
상시",모바일 클라이언트 (Unity3D C#),게임 클라이언트 개발자,"• Unity 개발 경험 2년 이상 이신 분
• Android, iOS 빌드 관리 및 트러블슈팅 경험이 있으신 분
• 기존 코드 분석을 통해 매커니즘을 파악할 수 있는 코드 리딩 능력이 있으신 분
• 게임 기획을 매커니즘으로 해석하여 설계할 수 있는 능력이 있으신 분
• Git 사용 경험이 있으신 분
• 다른 직군의 동료와 원활하게 소통할 수 있는 커뮤니케이션 능력이 좋으신 분","• Unity 성능 최적화 경험이 있으신 분 (프로파일링)
• 영문 개발 문서를 문제 없이 읽을 수 있을 정도의 영어 독해가 가능하신 분
• 코드 리뷰 경험 및 개발자 교육 경험이 있으신 분
• 모바일 빌드 및 배포 자동화 시스템 구축 경험이 있으신 분
• Unity용 Android 또는 iOS 네이티브 플러그인 개발 경험이 있으신 분
• 모바일 광고 시스템에 대한 전반적인 이해를 하고 있으신 분
• 여러 개의 게임을 동시에 관리한 경험이 있으신 분
• 3D 컨텐츠 및 방치형 RPG 게임 개발 경험이 있으신 분","경력
경력 3~10년","Unity
Firebase
Facebook Ads
Android SDK
JSON
Google Ads
C#
Git
iOS",https://www.jumpit.co.kr/position/1356,"• 출근 :
 - 자율 출근제 운영(오전 9~11시)
 - 셔틀 버스 운영(판교/야탑역 출발)
• 업무 :
 - 정보 공유 및 분석 문화 지향 (Slack, Notion, Jira, Git 등 사용)
 - WORK & LIFE BALANCE 지향
 - 주체적인 업무 관리
• 식사 :
 - 아침 & 점심 & 석식(야근 필요시) 제공
 - 스낵바 운영
 - 맛있는 수요일(*격주 중식비 추가 지원 및 점심시간 추가 제공)
 - 행복한 금요일(*매월 마지막 주 금요일 오후 1시간 조기 퇴근)
• 휴가 :
 - 자율적 휴가 사용 문화(연차, 반차)
 - 하반기 전사 정기 휴가(최장 7일)
 - 육아 휴직 제도 운영
 - 장기 근속 휴가 및 포상금 지원 
• 건강 :
 - 연 1회 건강 검진(60만원 상당)
 - 환절기 독감 예방접종
 - 심리상담 프로그램 운영
• 교육 :
 - 개인 성장을 위한 교육비 지원
 - 도서 구매 지원
• 성과 :
 - 복지 포인트 지급(연 120만원)
 - 상여금 지급(추석, 설, 여름휴가, 겨울휴가)
 - 프로젝트 성과에 따른 인센티브(연 1회)
• 기타 
 - 각종 경조사 지원","지속 발전하는 게임 서비스, 그 이상을 꿈꿉니다. 

2019년 봄, 엔스테이지는 게임의 새로운 재미와 가치를 유저들에게 전달하는 것을 목표로 시작되었습니다. 
변화하는 시장 패러다임에 발맞출 수 있도록 신규 컨텐츠 개발, 수익고도화, 마케팅 최적화 등 다양한 분야에서 게임의 재미와 가치를 연구하는 조직으로 구성되어 있습니다. 
45개 이상의 프로젝트, 100만명 이상의 글로벌 유저들을 대상으로 안정적인 라이브 게임 서비스를 제공하고 있으며 매년 100% 이상 성장 중에 있습니다. 

2023년에는 장르 다변화를 위해 미드코어 RPG 장르의 게임 퍼블리싱 프로젝트를 준비 중이며, 
지속 발전할 수 있는 게임 서비스를 함께 만들어갈 새로운 엔스테이지 크루분들을 찾고 있습니다.

[주요 사업]
• 모바일 게임
• 모바일 게임 운영 퍼블리싱 (컨텐츠 추가 및 수익 고도화)
• 마케팅 솔루션 제작 및 데이터 분석 서비스
• 모바일 플랫폼 확장 및 신규 퍼블리싱 프로젝트 발굴
 - 미드 코어 RPG 게임 운영 퍼블리싱 사업 확장 준비 중

[대표 게임]
• 버블코코 - https://cookapps.sng.link/Dfs4q/jtk5/mf6p
• 워터스플래시 - https://cookapps.sng.link/De2jh/r0r3/ru8l

* 면접비 : 면접에 참석하시는 모든 분들에게 소정의 상품권 지급","• 모바일 게임 컨텐츠 개발
 - Unity 엔진 사용
 - 신규 컨텐츠 개발 및 기존 컨텐츠 개편
 - 서드파티 SDK 및 Unity 버전 업그레이드
 - 앱 안정성 개선
 - 라이브 게임에 대한 기능 추가 개발 및 서비스 이슈 대응
• 모바일 게임 공용 SDK 개발
• 빌드 및 배포 자동화 시스템 구축 (CI/CD)"
소울엑스,"마감일
상시",언리얼 개발자,게임 클라이언트 개발자,"• Unreal Engine을 이용한 개발 경험
• C++ 프로그래밍 및 OOP에 대한 지식과 경험
• 소프트웨어 디자인 패턴에 대한 지식과 경험컴퓨터 시스템, 알고리즘 등 CS분야의 기초 지식
• 다른 직군 동료와의 원활한 커뮤니케이션
• 언리얼엔진 기반 실무 경력 보유자","• Python, 3D 컨텐츠 제작 파이프라인에 대해 이해가 있으신 분
• 전산학과, 컴퓨터 공학과, 게임공학과 전공/부전공 우대
• 게임서버 개발 및 연동 가능자
• Protobuf/RESTful/Websocket 등의 프로토콜에 대한 기초 지식
• 큰 코드 베이스 작업 경험
• 수학과 물리에 대한 지식","경력
경력 3~5년","Unreal Engine
C++",https://www.jumpit.co.kr/position/16159,"• 재택근무 가능
• 성과급, 인센티브제
• 4대보험 / 퇴직연금 
• 업무 효율에 따른 탄력 근무(개인별 시차출퇴근제 시행)
• 야근 지양, 집중을 통한 효율 추구
• 개인의 도전과 성장 지향(개인 역량 확대 및 강화를 위한 문화활동이나 교육 지원)
• 명절 선물지급","www.soulx.co.kr
소울엑스는 스토리텔링, 퍼포먼스에 최적화된 XR 콘텐츠 제작 솔루션 ‘엑스룸(XRoom)’ Beta ver. 을 개발하였고, 실시간 비대면 협업 기반 미디어 콘텐츠 제작 솔루션 구축과 연동된 애셋 거래 플랫폼을 개발하고 있습니다. 
크리에이터, 문화예술 콘텐츠 제작자, 교육자, 미디어 제작 전문가가 아닌 일반인 누구나 손쉽게 XR을 활용해 실시간으로 콘텐츠 제작이 가능하고 원격 협업을 통해 장소에 구애받지 않도록 하는데 비전을 가지고 있습니다.","• 3D SASS Editor 개발
• 서버 연동 
• UMG/Slate를 활용한 2D UI/UX 구현
• Blueprint/C++를 활용한 콘텐츠 구현"
소울엑스,"마감일
상시",유니티 개발자,게임 클라이언트 개발자,"• Unity을 이용한 개발 경험
• C# 프로그래밍 및 OOP에 대한 지식과 경험
• 소프트웨어 디자인 패턴에 대한 지식과 경험컴퓨터 시스템, 알고리즘 등 CS분야의 기초 지식
• 다른 직군 동료와의 원활한 커뮤니케이션
• 유니티 기반 실무 경력 보유자","• Python, 3D 컨텐츠 제작 파이프라인에 대해 이해가 있으신 분
• 전산학과, 컴퓨터 공학과, 게임공학과 전공/부전공 우대
• 게임서버 개발 및 연동 가능자
• Protobuf/RESTful/Websocket 등의 프로토콜에 대한 기초 지식
• 큰 코드 베이스 작업 경험
• 수학과 물리에 대한 지식","경력
경력 3~5년","Unity
C#
C++",https://www.jumpit.co.kr/position/16160,"• 재택근무 가능
• 성과급, 인센티브제
• 4대보험 / 퇴직연금 
• 업무 효율에 따른 탄력 근무(개인별 시차출퇴근제 시행)
• 야근 지양, 집중을 통한 효율 추구
• 개인의 도전과 성장 지향(개인 역량 확대 및 강화를 위한 문화활동이나 교육 지원)
• 명절 선물지급","www.soulx.co.kr
소울엑스는 스토리텔링, 퍼포먼스에 최적화된 XR 콘텐츠 제작 솔루션 ‘엑스룸(XRoom)’ Beta ver. 을 개발하였고, 실시간 비대면 협업 기반 미디어 콘텐츠 제작 솔루션 구축과 연동된 애셋 거래 플랫폼을 개발하고 있습니다. 
크리에이터, 문화예술 콘텐츠 제작자, 교육자, 미디어 제작 전문가가 아닌 일반인 누구나 손쉽게 XR을 활용해 실시간으로 콘텐츠 제작이 가능하고 원격 협업을 통해 장소에 구애받지 않도록 하는데 비전을 가지고 있습니다.","• 3D SASS Editor 개발
• 서버 연동 
• UMG/Slate를 활용한 2D UI/UX 구현
• C#을 활용한 콘텐츠 구현"
미니레코드,"마감일
2023-12-31",Unity 게임 클라이언트 개발자,게임 클라이언트 개발자,"• 유니티게임 개발 경력 필수
• AR VR 개발 경력 필수","• 리듬게임 개발 경력자 우대
• AR VR 경력자 우대","경력
경력 2~10년","Unity
C#
AR
VR",https://www.jumpit.co.kr/position/16639,"• 4대보험
• 명절 상여 및 특근수당
• 중석식 제공
• 경조금 및 경조휴가
• 간식제공 
• 월 1회 부서별 점심회식
• 자유로운 연차사용 
• 최신장비지원
• 콘도이용 지원 ""소노팰리체"" 전국 체인 1인당 연 3일 지원",https://www.minirecord.com/,"• 3D 게임 개발
• 유니티 리듬 게임 클라이언트 개발
• AR, VR 클라이언트 개발"
이스트게임즈,"마감일
상시",캐주얼게임 클라이언트개발,게임 클라이언트 개발자,"• 프로그래밍 관련 전공자
• 게임 개발 경험 및 지식 보유자
• Unity 엔진 경험자",• Unity 엔진으로 게임 개발 및 출시 경험자,"경력
경력 1~10년","Unity
C#
Java
JavaScript
C++",https://www.jumpit.co.kr/position/7455,"[ESTGames Life]
즐거운 사람이 재미있는 게임을 만들수 있다는 생각으로 임직원의 Work & Life 밸런스를 위해 노력합니다.

① Fun, In and out
즐거운 게임은 즐겁게 일하는 사람들 손에서 나옵니다. 이스트게임즈는 즐겁게 일할 수 있는 환경을 제공하기 위해 노력합니다.
• 복지 포인트 (원하는 곳에 내 마음대로!)
- 여행/공연/자기계발/쇼핑 등 다양한 분야에서 자유롭게 사용 가능한 복지포인트 지급
• 사내 카페테리아 (편안한 휴식 시간을 위한 우리만의 전용 공간)
- 회사 근처 유명 카페 입점
- 제조 음료 할인 및 베이커리 판매
• 축하 이벤트 (즐거운 날, 더 즐거울 수 있도록!)
- 졸업, 수습 종료 축하 이벤트
- 자녀 초등학교 입학 축하 이벤트
- 장기근속 축하 리프레시 휴가 지원

② Life, In and out
우리는 회사의 구성원이기 전에 한 가족의 구성원입니다. 이스트게임즈는 보다 풍요롭고 행복한 회사 생활을 위해 가족과의 행복한 삶을 지원합니다.
• 가족 친화 제도 (행복한 가정, 행복한 회사)
- 출산 축하 선물, 육아 수당
- 소노, 한화 리조트 지원
- 제주캠퍼스 게스트룸 지원
• 건강 관리 지원 (그 누구도 아프지 않도록)
- 건강검진 및 휴가 지원
- 병가 및 단체보험
• 경조사 지원 (마음을 함께해요)
- 경조사 휴가, 경조금 지원
- 화환, 꽃바구니, 상조 용품 지원

③ Freedom, with Responsibility
오늘도 열심히 일한 당신! 자유롭게 게임하고, 자유롭게 휴가쓰고, 자유롭게 퇴근하세요.
• 자기 주도적인 업무 환경 (업무에 몰입할 수 있도록!)
- 시차출퇴근제
- 원격근무 지원
- 시간 연차 제도(2시간 단위)
- 기여에 따른 차등 보상제
• 게임 캐시 지원 (게임 개발을 위한 플레이 경험은 필수!)
- 자사 게임 캐시 지원
• 자기계발 지원 (성장하고 싶은 당신에게)
- 외부 교육 및 세미나 지원
- 도서, 학비 지원
- 금융상품 가입 지원(과학기술인공제회 협약)",게임의 본질은 재미와 즐거움입니다. 이스트게임즈는 게임을 통해 더 많은 사람들이 '즐거움'과 '재미'를 찾는 세상을 꿈꿉니다. 2005년 카발 온라인을 시작으로 이스트게임즈는 국내 외 서비스 경험을 쌓아왔습니다. 오랜 경험을 바탕으로 한 탄탄한 개발력과 서비스 노하우로 누구나 쉽고 재밌게 게임을 즐긴다는 게임의 본질을 지켜나갈 수 있도록 노력하고 있습니다.,"• 클라이언트 컨텐츠 개발 (UI, 그래픽스 등 클라이언트 관련 컴포넌트)"
라이프페스타,"마감일
상시",모바일 메타버스 클라이언트 개발자,게임 클라이언트 개발자,"• 전산학 관련 이해 혹은 관련분야 전공자
• C++ 또는 C# 프로그래밍 가능하신 분
• 새로운 기술 습득에 대한 호기심과 열정을 갖추신 분
• 영어로 된 레퍼런스 문서를 이해하는데 어려움이 없는 분
• 주도적으로 방향성을 수립하고 커뮤니케이션 할 수 있는 분","• 모바일 앱/게임의 출시 및 라이브 경험이 있으신 분
• Unity 또는 PlayCanvas 개발 경험이 있으신 분
• OpenGL 또는 WebGL에 대한 이해가 있으신 분
• XR(AR,VR) 개발 경험 있으신 분
• 3D 아바타 커스터마이징에 대한 이해도가 있으신 분","경력
신입~15년","C#
C++
AR
WebGL
OpenGL
Unity
iOS
Android OS",https://www.jumpit.co.kr/position/6744,"라이프페스타는 가치 있는 일과 신뢰 하는 동료들과 함께 일과 삶의 조화를 찾아가고 있습니다.

1. 사내 문화 
• 서로를 존중하는 수평적 문화를 추구하며 서로 간의 호칭은 “이름+님”으로 통일합니다. 
• ‘함께하는 번영’을 가치로 진정성 있게 프로젝트를 바라보고 함께 도와주고 성장하는 최고 수준의 동료들을 경험할 수 있습니다.

2. 하이브리드 워크
• 탄력 출근제(09시~11시)를 도입하여 유연한 근무를 진행 중에 있습니다. 
• 재택 근무를 혼합하여 생산성 향상과 삶의 질의 향상을 추구 합니다. 

3. 업무 환경
• 업무 성과에 따른 스톡옵션 부여
• 자율적인 연차 사용 
• 듀얼 모니터 등 직군에 맞는 업무 장비 지원 
• 성장을 위한 도서 구입비 지원 
• 쾌적하고 자유로운 ""초""역세권 근무환경 (선릉역 1분 거리)","라이프페스타는 '일상의 게임화'를 추구하는 소셜 게임 기반 메타버스를 만드는 스타트업입니다. 전 크래프톤, 라인(LINE), 넥슨, 엔씨 소프트 출신의 평균 경력 10년 이상 슈퍼 개발진으로 구성 되어 있습니다. 2021년 12월 시드 라운드 투자 유치를 마무리 하였고, IT 대기업과의 협업 프로젝트도 체결하여 빠른 성장을 만들어 나가고 있습니다.

라이프페스타는 소셜 플랫폼과 소셜 게임을 접목시킨 창의적인 아이디어로 시장의 혁신을 만들고자 합니다. 현재 프로젝트 초기 단계로 개발의 시작부터 유니콘 이상의 성장을 함께 만들어가실 열정 있는 개발자분들을 모십니다.","WebGL 기반의 3D 메타버스와 Unity 기반의 모바일 AR 메타버스 서비스를 구현합니다.
서비스 전반의 영역에 거쳐 다양한 부분들을 경험하고, 주도적으로 만들어 나가게 됩니다.

• 가상 공간 동기화 처리 구현 (채팅,네비게이션,미니게임)
• 아바타/공간 꾸미기 구현
• 위치기반과 영상인식을 활용하는 AR 기능 구현
• UI 및 각종 컨텐츠 구현
• 서비스 운영 및 관리를 위한 각종 툴 제작 등"
이스트게임즈,"마감일
상시",게임클라이언트,게임 클라이언트 개발자,"• CS(Computer Science) 기본 지식을 갖춘 분 
• 하나 이상의 General-purpose 프로그래밍 언어로 소프트웨어를 개발한 경험이 있는 분 
• CG(Computer Graphics) 기본 지식을 숙지하고 DirectX/OpenGL 등의 그래픽스 API 사용 경험이 있는 분 
• 주변 동료들과 협업이 가능하며 책임감 있는 분 
• 본인의 개발경험이나 코딩수준을 어필할 수 있는 포트폴리오 첨부 필수","• 하기의 혹은 그 외 하나 이상의 General-purpose 프로그래밍 언어로 소프트웨어를 개발한 경험이 있는 분
- C/C++, C#, Swift, Objective C, Kotlin, Java, JavaScript, Python, Go.
• 새로운 프로그래밍 언어를 습득하는데 어려움이 없거나 혹은 흥미를 갖고 있는 분
• 게임엔진 사용 경험이 있는 분
• Shader 프로그래밍 경험이 있는 분
• OS/System Internals 관련 지식을 갖춘 분
• Windows/Linux 환경에서의 Platform-independent 개발 경험이 있는 분
• 오픈소스 기반의 설계 및 개발 경험이 있는 분","경력
신입~20년","C++
Unity
Unreal Engine
Swift
Objective-C
Kotlin
Java
JavaScript",https://www.jumpit.co.kr/position/2036,"[ESTGames Life]
즐거운 사람이 재미있는 게임을 만들수 있다는 생각으로 임직원의 Work & Life 밸런스를 위해 노력합니다.

① Fun, In and out
즐거운 게임은 즐겁게 일하는 사람들 손에서 나옵니다. 이스트게임즈는 즐겁게 일할 수 있는 환경을 제공하기 위해 노력합니다.
• 복지 포인트 (원하는 곳에 내 마음대로!)
- 여행/공연/자기계발/쇼핑 등 다양한 분야에서 자유롭게 사용 가능한 복지포인트 지급
• 사내 카페테리아 (편안한 휴식 시간을 위한 우리만의 전용 공간)
- 회사 근처 유명 카페 입점
- 제조 음료 할인 및 베이커리 판매
• 축하 이벤트 (즐거운 날, 더 즐거울 수 있도록!)
- 졸업, 수습 종료 축하 이벤트
- 자녀 초등학교 입학 축하 이벤트
- 장기근속 축하 리프레시 휴가 지원

② Life, In and out
우리는 회사의 구성원이기 전에 한 가족의 구성원입니다. 이스트게임즈는 보다 풍요롭고 행복한 회사 생활을 위해 가족과의 행복한 삶을 지원합니다.
• 가족 친화 제도 (행복한 가정, 행복한 회사)
- 출산 축하 선물, 육아 수당
- 소노, 한화 리조트 지원
- 제주캠퍼스 게스트룸 지원
• 건강 관리 지원 (그 누구도 아프지 않도록)
- 건강검진 및 휴가 지원
- 병가 및 단체보험
• 경조사 지원 (마음을 함께해요)
- 경조사 휴가, 경조금 지원
- 화환, 꽃바구니, 상조 용품 지원

③ Freedom, with Responsibility
오늘도 열심히 일한 당신! 자유롭게 게임하고, 자유롭게 휴가쓰고, 자유롭게 퇴근하세요.
• 자기 주도적인 업무 환경 (업무에 몰입할 수 있도록!)
- 시차출퇴근제
- 원격근무 지원
- 시간 연차 제도(2시간 단위)
- 기여에 따른 차등 보상제
• 게임 캐시 지원 (게임 개발을 위한 플레이 경험은 필수!)
- 자사 게임 캐시 지원
• 자기계발 지원 (성장하고 싶은 당신에게)
- 외부 교육 및 세미나 지원
- 도서, 학비 지원
- 금융상품 가입 지원(과학기술인공제회 협약)",게임의 본질은 재미와 즐거움입니다. 이스트게임즈는 게임을 통해 더 많은 사람들이 '즐거움'과 '재미'를 찾는 세상을 꿈꿉니다. 2005년 카발 온라인을 시작으로 이스트게임즈는 국내 외 서비스 경험을 쌓아왔습니다. 오랜 경험을 바탕으로 한 탄탄한 개발력과 서비스 노하우로 누구나 쉽고 재밌게 게임을 즐긴다는 게임의 본질을 지켜나갈 수 있도록 노력하고 있습니다.,• 게임 개발
네비웍스,"마감일
상시",메타버스 유니티 클라이언트 개발자 모집,게임 클라이언트 개발자,"• 유니티, C# 모바일 개발 경력 5년 이상 또는 이에 준하는 3D 엔진 개발 경험자
• 코드분석, 디버깅 능력이 있으신 분
• 백엔드 API연동 활용 어플리케이션 개발 이해도가 높으신 분
• Git, Teams 등 협업도구 활용 이해도가 높으신 분
• 가상 공간, 게임에 대한 이해도가 높으신 분","• 다양한 장르의 모바일게임을 즐기시는 분
• 커뮤니케이션 능력이 원활하신 분
• 프로젝트 리더, PM 경험 있으신 분
• 스토어 출시 경험 있으신 분","경력
경력 5~10년","Unity
C#
Git",https://www.jumpit.co.kr/position/18331,"• 든든하게 아침을 시작하실 수 있도록 아침 간편식을 제공합니다.
• 매년 우수 사원 시상식을 진행하고 있습니다.(1등은 상금 1천만원 외 포상)
• 제주도에 원격 근무 시설을 오픈 하여 임직원 분들이 가족과 함께 활용 가능합니다.(워케이션)
• 네비웍스의 임직원 분들은 소노호텔/리조트를 할인된 가격으로 이용 가능합니다.
• 몸과 마음의 건강을 위해 스포츠 마사지, 필라테스 클래스와 심리 상담을 제공합니다.
• 생일에는 특별 휴가를 사용하여 더욱 행복한 생일을 보낼 수 있습니다.
• 수평적이고 젊은 기업 문화를 가지고 있습니다.
• 사옥의 주차지원이 가능합니다.","(주)네비웍스는 2000년 창립이래 ""정도기술로 세상을 이롭게 변화시킨다""는 비전을 바탕으로 독자적인 기술로 이루어진 제품개발에 힘쓰고 있습니다.
클라우드/AI/XR 기반 디지털전환 전문기업으로, 국방 무기체계, 가상증강훈련 솔루션의 첨단화 및 디지털 헬스케어, 스마트 문화관광 등 스마트시티 내 주요 인프라 구축을 주도하고 있습니다. 도덕적 과학기술 인재 양성이라는 경영목적 하에 직원의 성장이 곧 기업의 성장이라는 생각을 바탕으로 특히 직원 기술역량 향상에 힘쓰고 있습니다.","• 메타버스 클라이언트 개발
• 3D 공간 내 인터렉션 기능 개발 
• 모바일 다중 접속 서비스 (Google, Apple)"
티앤메타,"마감일
상시",Unity 개발자(3~5년) 정규직 채용,게임 클라이언트 개발자,"• 경력 3~5년
• C# 언어 능숙하게 사용
• 3D Graphics 전반적인 이해도
• 네트워크 통신 경험자
• Unity Engine 기반 WebGL 개발 경험자
• CI/CD 경험자
• 프로토타이핑, 핵심 로직 설계, 기능 구현, 최적화
• 캐릭터 리깅 및 아바타 시스템 경험자
• 메타버스형 모바일 플랫폼","• colyseus을 이용한 멀티플레이어 개발 경험자 우대
• Unity 3D 사용에 능숙한 자 우대","경력
경력 3~5년","unity
C#
WebGL",https://www.jumpit.co.kr/position/16283,"• 개인 장비 : 맥북 또는 희망 PC 지원, 듀얼 모니터
• 근무 형태 : 9시 ~ 6시 (코어타임근무 10시 ~ 3시)
• 자기 계발 : 장기근속자 refresh휴가 및 휴가비 지원, 설&추석 명절 선물 지급, 숙박비 20만원한도 지원, 지인추천포상100만원, 업무관련 도서비 지원, 통신비 5만원 지원, 어학/체력단력(택1) 5만원 한도 지원
• 통근, 교통 : 출장 교통비지원, 야근식대 및 택시비 지원
• 식사, 간식 : 식권대장 포인트 지원
• 급여 제도 : 연차, 퇴직금, 4대보험
• 보험, 의료 : 종합 검진 제공, 경조사비","티앤메타는 '나무기술'과 'TTCEDU' (대학 비교과 No1 교육 회사)가 설립한 조인트 벤처기업입니다.
메타버스와 블록체인을 융합한 새로운 개념의 서비스를 준비하고 있는 회사입니다. 
저희는 기존 대학 대상으로 서비스를 Open 하고 글로벌 하게 확장을 할 계획이며,이에 따라 K 블록체인의 표준화를 진행할 계획을 가지고 있는 성장 무한한 회사입니다.",• 모바일 플랫폼 메타버스 Unity 개발
쿡앱스,"마감일
상시",[쿡앱스] RPG 게임 클라이언트 개발자 (Unity),게임 클라이언트 개발자,"• (필수) 게임 개발 경력 2년 이상 갖추신 분
• Unity3D 상용 프로젝트 출시 경험 있으신 분
• 자료구조 및 알고리즘, OOP, CBD에 충분한 지식을 갖추신 분
• RPG, Idle 장르 게임 개발 경험 있으신 분
• 언어 : C++, C#
• 포트폴리오 제출 필수","• 게임 좋아하시는 분
• 코드 이해 능력이 높고 개선사항을 제시할 준비가 되신 분
• 아이디어 제시부터 실행까지 책임감 있게 끌고 가실 수 있는 분
• 자신의 코드에 대해 리뷰 받을 준비가 되신 분
• 1년 이상 라이브 서비스해 보신 분
• 컴퓨터 그래픽스에 대한 이해가 싶으신 분","경력
경력 2~10년","C++
C#
Unity",https://www.jumpit.co.kr/position/7519,"<쿡앱스의 파트너로서 함께 일하는 분들을 위해 업계 최고 수준의 복지와 업무에 집중할 수 있는 환경을 제공하고 있습니다.>

• 업무시간: AM 10:00 ~ PM 7:00 (점심 시간 2시간), 주 35시간 근무, 야근 지양 문화
• 직군 상관없이 신입 초봉 연 5,000만원, 인턴 / 계약직 3,500만원 이상 
• 연 2회 인센티브 지급, 연 4회 기본 보너스 지급
• 개인 성장을 위한 무제한 지원 정책 운영 (대학원 학비 90% 지원, 도서 무제한 구매, 외부 강의 수강료 지원 등)
• 자발적 학습조직 CoP, 외부 강사 초빙 등 다양한 교육 정책 운영
• 자유로운 게임 개발 문화 장려를 위한 사내 정기 게임잼 운영
• 연차 외 병가 6일 추가 제공, 자율 휴가 사용 문화 # 조식, 중식, 석식 및 무제한 간식 제공
• # 해외워크샵 # 사우회 운영 및 동아리 지원금 지급 # 각종 경조사 지원
• 3.6.9년마다 장기근속 휴가 및 보너스 지급 # 복지포인트 지급 (베네피아) # 사내 마사지실 운영 # 정기 건강검진 지원

쿡앱스에 대해 더 궁금하시다면?
쿡앱스 스토리: https://www.cookapps.com/cookapps-story
쿡앱스 홈페이지: https://www.cookapps.com/","""세상을 즐겁게!""

업계 최고 수준의 제작자들이 모인 쿡앱스는 북미, 유럽 등 글로벌 유저들이 사랑하는 캐주얼 게임을 통해 세상을 더 재미있는 곳으로 만들고 있습니다.

2019년 이후 쿡앱스에서 출시한 게임들은 2년 만에 전 세계 누적 다운로드 2억 건을 돌파하였습니다. 2021년에는 네이버, 카카오와 함께 글로벌 다운로드 수를 가장 많이 달성한 국내 퍼블리셔 9위에 선정되었습니다.

매일 전 세계200만명의 유저들과 호흡하는 쿡앱스는 최고 수준의 캐주얼 게임을 함께 만들어 나갈 최고의 인재들을 대규모로 채용하고 있습니다. 지금까지의 급격한 성장을 발판으로 또 한 번의 ""퀀텀 점프""를 준비하고 있는 쿡앱스에 지금 바로 탑승하세요!

""Our Vision""

혁신적인 게임은 플레이하는 순간을 넘어, 오랫동안 그 사람의 인생에 강한 여운을 남깁니다.

우리가 만든 게임을 통해 전 세계 유저에게 커다란 즐거움과 감동을 선사하고, 이를 통해 그 주변 사람들의 일상과 삶에도 긍정적이고 선한 영향력을 전달할 수 있다고 믿습니다. 한 명 한 명의 유저에게 잠깐의 행복한 경험을 주는 것을 넘어 우리가 살고 있는 세상을 즐거움과 재미로 가득 채우는 것. 그것이 쿡앱스가 생각하는 우리의 미래 모습이자, 우리가 게임을 제작하고 있는 이유입니다.

우리는 1조 가치의 게임 회사를 만드는 것이 아니라, 1조를 주고도 살 수 없는 세상의 즐거움과 행복을 만드는 일을 하고 있습니다.","• 3D, 2D 모바일 클라이언트 개발에 참여합니다. 
• 단순 개발 업무보다 제작 전반 과정에 참여하며 게임 콘텐츠를 구현합니다.
• 사내 Game Jam Festival을 통해 원하던 게임을 자유롭게 만들어보고 시장 테스트까지 받아볼 수 있도록 쿡앱스에서는 모든 과정을 지원해 드립니다."
